,State,HC01_VC43,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC51,HC03_VC51,HC01_VC52,HC03_VC52,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC63,HC03_VC63,HC01_VC64,HC03_VC64,HC01_VC65,HC03_VC65,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC69,HC03_VC69,HC01_VC70,HC03_VC70,HC01_VC71,HC03_VC71,HC01_VC72,HC03_VC72,HC01_VC73,HC03_VC73,HC01_VC74,HC03_VC74,HC01_VC77,HC03_VC77,HC01_VC78,HC03_VC78,HC01_VC79,HC03_VC79,HC01_VC80,HC03_VC80,HC01_VC81,HC03_VC81,HC01_VC82,HC03_VC82,HC01_VC83,HC03_VC83,HC01_VC87,HC03_VC87,HC01_VC88,HC03_VC88,HC01_VC89,HC03_VC89,HC01_VC90,HC03_VC90,HC01_VC91,HC03_VC91,HC01_VC92
1,Alabama,4799277,3326188,69.3,1262152,26.3,25278,0.5,9180,0.2,199,0.0,74,0.0,270,0.0,56831,1.2,12778,0.3,11279,0.2,5423,0.1,1886,0.0,8785,0.2,8794,0.2,7886,0.2,1387,0.0,559,0.0,458,0.0,138,0.0,232,0.0,55296,1.2,72145,1.5,22647,0.5,25250,0.5,7764,0.2,3834,0.1,4799277,4799277,3388895,70.6,1294437,27.0,57376,1.2,69176,1.4,3345,0.1,62114,1.3,4799277,4799277,188294,3.9,129237,2.7,14190,0.3,3907,0.1,40960
2,Alaska,720316,481638,66.9,25033,3.5,101273,14.1,723,0.1,285,0.0,245,0.0,514,0.1,39200,5.4,830,0.1,1990,0.3,20039,2.8,1764,0.2,4458,0.6,1263,0.2,8856,1.2,8013,1.1,1048,0.1,343,0.0,5466,0.8,1156,0.2,8402,1.2,56757,7.9,4875,0.7,30752,4.3,7099,1.0,2502,0.3,720316,720316,530935,73.7,35707,5.0,139640,19.4,51854,7.2,11731,1.6,11530,1.6,720316,720316,42832,5.9,23318,3.2,5733,0.8,866,0.1,12915
3,Arizona,6479703,5131739,79.2,270027,4.2,286953,4.4,3519,0.1,985,0.0,142456,2.2,1526,0.0,182953,2.8,38053,0.6,37868,0.6,34351,0.5,10065,0.2,15966,0.2,23684,0.4,22966,0.4,12607,0.2,4803,0.1,1961,0.0,2021,0.0,3822,0.1,404159,6.2,191265,3.0,37304,0.6,42049,0.6,38484,0.6,5045,0.1,6479703,6479703,5296416,81.7,325913,5.0,346368,5.3,238727,3.7,25258,0.4,451466,7.0,6479703,6479703,1935948,29.9,1749835,27.0,35765,0.6,10733,0.2,139615
4,Arkansas,2933369,2295446,78.3,454903,15.5,17945,0.6,7472,0.3,129,0.0,135,0.0,185,0.0,37776,1.3,8451,0.3,5428,0.2,5148,0.2,937,0.0,2292,0.1,5601,0.2,9919,0.3,5697,0.2,775,0.0,91,0.0,111,0.0,4720,0.2,63295,2.2,58307,2.0,15150,0.5,25937,0.9,5991,0.2,1500,0.1,2933369,2933369,2349366,80.1,475073,16.2,47744,1.6,45838,1.6,7449,0.3,68992,2.4,2933369,2933369,192264,6.6,149054,5.1,5521,0.2,886,0.0,36803
5,California,37659181,23467167,62.3,2255372,6.0,286397,0.8,23070,0.1,2914,0.0,8302,0.0,4861,0.0,5005635,13.3,560504,1.5,1314760,3.5,1204221,3.2,280432,0.7,455449,1.2,608760,1.6,581509,1.5,146290,0.4,24291,0.1,23308,0.1,38971,0.1,59720,0.2,4870961,12.9,1627359,4.3,210103,0.6,257033,0.7,443558,1.2,40241,0.1,37659181,37659181,24810734,65.9,2666095,7.1,691892,1.8,5680754,15.1,285151,0.8,5302616,14.1,37659181,37659181,14270345,37.9,11917361,31.6,197899,0.5,89188,0.2,2065897
6,Colorado,5119329,4301096,84.0,203755,4.0,49177,1.0,3536,0.1,917,0.0,6893,0.1,3460,0.1,141719,2.8,19620,0.4,25914,0.5,13661,0.3,11185,0.2,21099,0.4,24467,0.5,25773,0.5,6549,0.1,2177,0.0,1724,0.0,1015,0.0,1633,0.0,241998,4.7,175035,3.4,32972,0.6,44014,0.9,36058,0.7,3351,0.1,5119329,5119329,4457500,87.1,255924,5.0,108759,2.1,192635,3.8,15016,0.3,280117,5.5,5119329,5119329,1064009,20.8,810212,15.8,25750,0.5,6480,0.1,221567
7,Connecticut,3583561,2792554,77.9,361668,10.1,8770,0.2,437,0.0,89,0.0,37,0.0,106,0.0,141709,4.0,49028,1.4,33324,0.9,12168,0.3,3974,0.1,9539,0.3,9491,0.3,24185,0.7,1304,0.0,411,0.0,381,0.0,286,0.0,226,0.0,183445,5.1,94111,2.6,30359,0.8,11891,0.3,14550,0.4,4337,0.1,3583561,3583561,2870078,80.1,410684,11.5,31430,0.9,162352,4.5,3856,0.1,207708,5.8,3583561,3583561,496939,13.9,52152,1.5,267798,7.5,10601,0.3,166388
8,Delaware,908446,635474,70.0,194964,21.5,3010,0.3,448,0.0,0,0.0,27,0.0,93,0.0,30422,3.3,12522,1.4,7037,0.8,3645,0.4,505,0.1,1846,0.2,1406,0.2,3461,0.4,567,0.1,236,0.0,135,0.0,34,0.0,162,0.0,20943,2.3,23066,2.5,9963,1.1,3116,0.3,3365,0.4,1262,0.1,908446,908446,655152,72.1,209455,23.1,8727,1.0,35181,3.9,992,0.1,23855,2.6,908446,908446,76107,8.4,30651,3.4,24044,2.6,1929,0.2,19483
9,District of Columbia,619371,248141,40.1,310530,50.1,1990,0.3,249,0.0,15,0.0,21,0.0,66,0.0,21845,3.5,5171,0.8,5470,0.9,2595,0.4,1088,0.2,2403,0.4,1933,0.3,3185,0.5,233,0.0,56,0.0,37,0.0,0,0.0,140,0.0,22165,3.6,14467,2.3,3279,0.5,879,0.1,4088,0.7,1158,0.2,619371,619371,258923,41.8,318150,51.4,5506,0.9,27811,4.5,907,0.1,24424,3.9,619371,619371,59479,9.6,9101,1.5,3753,0.6,1992,0.3,44633
10,Florida,19091156,14568521,76.3,3056152,16.0,58390,0.3,9460,0.0,1480,0.0,618,0.0,1627,0.0,475905,2.5,130171,0.7,81644,0.4,89814,0.5,13968,0.1,24663,0.1,66263,0.3,69382,0.4,11258,0.1,3318,0.0,2559,0.0,1460,0.0,3921,0.0,490475,2.6,430455,2.3,135715,0.7,63893,0.3,72236,0.4,10761,0.1,19091156,19091156,14926579,78.2,3262238,17.1,151863,0.8,594578,3.1,32281,0.2,586068,3.1,19091156,19091156,4369920,22.9,629945,3.3,898953,4.7,1286325,6.7,1554697
