,State,HC01_VC43,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC51,HC03_VC51,HC01_VC52,HC03_VC52,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC63,HC03_VC63,HC01_VC64,HC03_VC64,HC01_VC65,HC03_VC65,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC69,HC03_VC69,HC01_VC70,HC03_VC70,HC01_VC71,HC03_VC71,HC01_VC72,HC03_VC72,HC01_VC73,HC03_VC73,HC01_VC74,HC03_VC74,HC01_VC77,HC03_VC77,HC01_VC78,HC03_VC78,HC01_VC79,HC03_VC79,HC01_VC80,HC03_VC80,HC01_VC81,HC03_VC81,HC01_VC82,HC03_VC82,HC01_VC83,HC03_VC83,HC01_VC87,HC03_VC87,HC01_VC88,HC03_VC88,HC01_VC89,HC03_VC89,HC01_VC90,HC03_VC90,HC01_VC91,HC03_VC91,HC01_VC92
11,Georgia,10099320,6039389,59.8,3148134,31.2,28950,0.3,6630,0.1,244,0.0,307,0.0,287,0.0,373983,3.7,121008,1.2,56604,0.6,21927,0.2,8879,0.1,54563,0.5,51523,0.5,59479,0.6,4916,0.0,1339,0.0,745,0.0,1297,0.0,1535,0.0,281491,2.8,222457,2.2,78684,0.8,30855,0.3,36467,0.4,10052,0.1,10099320,10099320,6220737,61.6,3271240,32.4,84912,0.8,433946,4.3,14290,0.1,316703,3.1,10099320,10099320,926990,9.2,551102,5.5,90858,0.9,30846,0.3,254184
12,Hawaii,1413673,353643,25.0,25871,1.8,2715,0.2,511,0.0,10,0.0,247,0.0,51,0.0,537363,38.0,2507,0.2,55366,3.9,209323,14.8,181998,12.9,22924,1.6,10766,0.8,54479,3.9,143973,10.2,90054,6.4,2866,0.2,15472,1.1,35581,2.5,13479,1.0,336629,23.8,5377,0.4,9604,0.7,72398,5.1,1404,0.1,1413673,1413673,603260,42.7,46376,3.3,32621,2.3,798943,56.5,370009,26.2,33837,2.4,1413673,1413673,141827,10.0,42186,3.0,48697,3.4,2204,0.2,48740
13,Idaho,1635483,1493155,91.3,10433,0.6,21454,1.3,1361,0.1,675,0.0,668,0.0,769,0.0,21630,1.3,2345,0.1,4738,0.3,4086,0.2,2926,0.2,1727,0.1,1718,0.1,4090,0.3,2003,0.1,580,0.0,287,0.0,241,0.0,895,0.1,44758,2.7,42050,2.6,5445,0.3,14950,0.9,10524,0.6,341,0.0,1635483,1635483,1532734,93.7,17717,1.1,39372,2.4,34787,2.1,5269,0.3,50615,3.1,1635483,1635483,195589,12.0,169882,10.4,3350,0.2,688,0.0,21669
14,Illinois,12851684,9270907,72.1,1837612,14.3,29399,0.2,3041,0.0,1532,0.0,347,0.0,999,0.0,655799,5.1,224090,1.7,125760,1.0,119344,0.9,18355,0.1,59726,0.5,25856,0.2,82668,0.6,4186,0.0,1369,0.0,1238,0.0,491,0.0,1088,0.0,753559,5.9,300222,2.3,90640,0.7,40527,0.3,67613,0.5,9820,0.1,12851684,12851684,9527064,74.1,1968530,15.3,95706,0.7,748729,5.8,13854,0.1,818644,6.4,12851684,12851684,2136474,16.6,1693104,13.2,202096,1.6,25903,0.2,215371
15,Indiana,6589578,5534759,84.0,608226,9.2,15799,0.2,3628,0.1,948,0.0,306,0.0,531,0.0,130232,2.0,35053,0.5,32462,0.5,12750,0.2,5021,0.1,10345,0.2,8302,0.1,26299,0.4,2746,0.0,816,0.0,760,0.0,565,0.0,605,0.0,151500,2.3,146316,2.2,63917,1.0,27343,0.4,20985,0.3,3427,0.1,6589578,6589578,5668710,86.0,686078,10.4,52854,0.8,157549,2.4,6699,0.1,172009,2.6,6589578,6589578,429522,6.5,320661,4.9,36269,0.6,5705,0.1,66887
16,Iowa,3106589,2823890,90.9,103052,3.3,9951,0.3,738,0.0,366,0.0,158,0.0,1387,0.0,66570,2.1,13073,0.4,13419,0.4,4099,0.1,1451,0.0,6124,0.2,9501,0.3,18903,0.6,2422,0.1,749,0.0,236,0.0,243,0.0,1194,0.0,39410,1.3,61294,2.0,26231,0.8,12191,0.4,11583,0.4,1170,0.0,3106589,3106589,2881780,92.8,133938,4.3,25590,0.8,80648,2.6,4195,0.1,45138,1.5,3106589,3106589,172707,5.6,134532,4.3,6347,0.2,1916,0.1,29912
17,Kansas,2898292,2468923,85.2,167706,5.8,23871,0.8,5349,0.2,293,0.0,1117,0.0,1016,0.0,77605,2.7,15714,0.5,13215,0.5,5408,0.2,2035,0.1,5665,0.2,15572,0.5,19996,0.7,1874,0.1,369,0.0,447,0.0,426,0.0,632,0.0,62283,2.1,96030,3.3,31997,1.1,28419,1.0,13075,0.5,3048,0.1,2898292,2898292,2556975,88.2,210276,7.3,60659,2.1,95785,3.3,5019,0.2,72762,2.5,2898292,2898292,327739,11.3,273150,9.4,11005,0.4,4201,0.1,39383
18,Kentucky,4411989,3859516,87.5,350242,7.9,9052,0.2,3041,0.1,488,0.0,343,0.0,304,0.0,57084,1.3,13605,0.3,9631,0.2,5633,0.1,4428,0.1,4829,0.1,5789,0.1,13169,0.3,2584,0.1,693,0.0,444,0.0,579,0.0,868,0.0,40674,0.9,92837,2.1,43971,1.0,17760,0.4,12234,0.3,2245,0.1,4411989,4411989,3944886,89.4,404697,9.2,32447,0.7,73037,1.7,5077,0.1,50405,1.1,4411989,4411989,146945,3.3,85029,1.9,15175,0.3,12825,0.3,33916
19,Louisiana,4645670,2909290,62.6,1494201,32.2,26403,0.6,2678,0.1,44,0.0,353,0.0,248,0.0,78719,1.7,10584,0.2,12383,0.3,7350,0.2,1509,0.0,4003,0.1,33534,0.7,9356,0.2,1464,0.0,433,0.0,411,0.0,198,0.0,422,0.0,50434,1.1,85159,1.8,29548,0.6,20632,0.4,9975,0.2,4684,0.1,4645670,4645670,2983369,64.2,1539681,33.1,59221,1.3,93947,2.0,3905,0.1,60615,1.3,4645670,4645670,223408,4.8,90637,2.0,14013,0.3,11281,0.2,107477
20,Maine,1329923,1260476,94.8,16303,1.2,8013,0.6,116,0.0,127,0.0,37,0.0,101,0.0,14643,1.1,1694,0.1,3801,0.3,2006,0.2,571,0.0,1102,0.1,2241,0.2,3228,0.2,211,0.0,49,0.0,94,0.0,30,0.0,38,0.0,3151,0.2,27126,2.0,5477,0.4,12773,1.0,5395,0.4,317,0.0,1329923,1329923,1286400,96.7,23322,1.8,22284,1.7,21262,1.6,1202,0.1,4150,0.3,1329923,1329923,19772,1.5,5679,0.4,5529,0.4,1117,0.1,7447
