,State,HC01_VC43,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC51,HC03_VC51,HC01_VC52,HC03_VC52,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC63,HC03_VC63,HC01_VC64,HC03_VC64,HC01_VC65,HC03_VC65,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC69,HC03_VC69,HC01_VC70,HC03_VC70,HC01_VC71,HC03_VC71,HC01_VC72,HC03_VC72,HC01_VC73,HC03_VC73,HC01_VC74,HC03_VC74,HC01_VC77,HC03_VC77,HC01_VC78,HC03_VC78,HC01_VC79,HC03_VC79,HC01_VC80,HC03_VC80,HC01_VC81,HC03_VC81,HC01_VC82,HC03_VC82,HC01_VC83,HC03_VC83,HC01_VC87,HC03_VC87,HC01_VC88,HC03_VC88,HC01_VC89,HC03_VC89,HC01_VC90,HC03_VC90,HC01_VC91,HC03_VC91,HC01_VC92
1,Alabama,4830620,3325464,68.8,1276544,26.4,23850,0.5,8870,0.2,172,0.0,153,0.0,252,0.0,59599,1.2,11915,0.2,11472,0.2,5586,0.1,1838,0.0,10544,0.2,9212,0.2,9032,0.2,2439,0.1,588,0.0,1246,0.0,161,0.0,444,0.0,61078,1.3,81646,1.7,25175,0.5,27134,0.6,10465,0.2,3705,0.1,4830620,4830620,3396662,70.3,1312584,27.2,58251,1.2,75634,1.6,5186,0.1,69042,1.4,4830620,4830620,193492,4.0,128381,2.7,14524,0.3,5155,0.1,45432
2,Alaska,733375,484250,66.0,25022,3.4,101313,13.8,585,0.1,299,0.0,256,0.0,419,0.1,42921,5.9,856,0.1,2378,0.3,23357,3.2,1584,0.2,4980,0.7,1103,0.2,8663,1.2,8841,1.2,1383,0.2,433,0.1,5205,0.7,1820,0.2,9273,1.3,61755,8.4,6886,0.9,32336,4.4,7879,1.1,2285,0.3,733375,733375,538294,73.4,37906,5.2,141686,19.3,56670,7.7,12824,1.7,12708,1.7,733375,733375,47808,6.5,25774,3.5,6772,0.9,899,0.1,14363
3,Arizona,6641928,5210335,78.4,281576,4.2,294721,4.4,2817,0.0,1258,0.0,145393,2.2,1862,0.0,200090,3.0,43322,0.7,38663,0.6,36976,0.6,10269,0.2,15987,0.2,27573,0.4,27300,0.4,12471,0.2,4284,0.1,1797,0.0,2001,0.0,4389,0.1,430890,6.5,211845,3.2,44339,0.7,44708,0.7,40054,0.6,5868,0.1,6641928,6641928,5391169,81.2,348422,5.2,360878,5.4,260295,3.9,27497,0.4,482227,7.3,6641928,6641928,2014711,30.3,1813659,27.3,38540,0.6,12888,0.2,149624
4,Arkansas,2958208,2307849,78.0,459748,15.5,18409,0.6,7274,0.2,130,0.0,147,0.0,151,0.0,40336,1.4,9737,0.3,6630,0.2,4623,0.2,948,0.0,2037,0.1,6297,0.2,10064,0.3,6845,0.2,543,0.0,128,0.0,197,0.0,5977,0.2,62484,2.1,62537,2.1,16698,0.6,26924,0.9,7116,0.2,1408,0.0,2958208,2958208,2365477,80.0,481428,16.3,49291,1.7,49925,1.7,9098,0.3,68462,2.3,2958208,2958208,203226,6.9,152982,5.2,5594,0.2,1507,0.1,43143
5,California,38421464,23747013,61.8,2265387,5.9,287028,0.7,21962,0.1,2570,0.0,9191,0.0,4554,0.0,5261978,13.7,635718,1.7,1394014,3.6,1247073,3.2,278354,0.7,463977,1.2,626143,1.6,616699,1.6,150370,0.4,23437,0.1,24178,0.1,40209,0.1,62546,0.2,4974791,12.9,1734897,4.5,232721,0.6,275051,0.7,484442,1.3,39388,0.1,38421464,38421464,25179712,65.5,2710216,7.1,719301,1.9,6001393,15.6,301831,0.8,5411623,14.1,38421464,38421464,14750686,38.4,12274907,31.9,209771,0.5,91274,0.2,2174734
6,Colorado,5278906,4446095,84.2,213787,4.0,50008,0.9,4430,0.1,978,0.0,6213,0.1,3390,0.1,153467,2.9,24383,0.5,30546,0.6,13900,0.3,11212,0.2,22012,0.4,23127,0.4,28287,0.5,7695,0.1,2552,0.0,1658,0.0,1794,0.0,1691,0.0,224374,4.3,183480,3.5,34735,0.7,43299,0.8,39700,0.8,4223,0.1,5278906,5278906,4608186,87.3,268990,5.1,111240,2.1,209119,4.0,17266,0.3,263739,5.0,5278906,5278906,1112586,21.1,832155,15.8,28546,0.5,8422,0.2,243463
7,Connecticut,3593222,2778362,77.3,370501,10.3,8908,0.2,715,0.0,60,0.0,56,0.0,71,0.0,150670,4.2,54019,1.5,35907,1.0,13425,0.4,3836,0.1,10010,0.3,8536,0.2,24937,0.7,981,0.0,183,0.0,313,0.0,188,0.0,297,0.0,181881,5.1,101919,2.8,30542,0.8,12308,0.3,17599,0.5,4533,0.1,3593222,3593222,2861270,79.6,422002,11.7,33311,0.9,175370,4.9,4239,0.1,208214,5.8,3593222,3593222,526508,14.7,54369,1.5,278670,7.8,11031,0.3,182438
8,Delaware,926454,642623,69.4,200481,21.6,3140,0.3,394,0.0,14,0.0,24,0.0,30,0.0,33643,3.6,14105,1.5,7548,0.8,3481,0.4,418,0.0,2459,0.3,1713,0.2,3919,0.4,306,0.0,99,0.0,134,0.0,14,0.0,59,0.0,20995,2.3,25266,2.7,11805,1.3,2880,0.3,3259,0.4,1302,0.1,926454,926454,664065,71.7,217312,23.5,8840,1.0,38746,4.2,1168,0.1,23906,2.6,926454,926454,80706,8.7,31779,3.4,25868,2.8,1956,0.2,21103
9,District of Columbia,647484,260325,40.2,316447,48.9,2154,0.3,202,0.0,19,0.0,52,0.0,71,0.0,23822,3.7,5730,0.9,6355,1.0,2946,0.5,1215,0.2,2457,0.4,1896,0.3,3223,0.5,250,0.0,52,0.0,110,0.0,71,0.0,17,0.0,27159,4.2,17327,2.7,4083,0.6,1310,0.2,5275,0.8,1017,0.2,647484,647484,273868,42.3,324552,50.1,6122,0.9,31284,4.8,1092,0.2,29923,4.6,647484,647484,65803,10.2,10554,1.6,4528,0.7,2537,0.4,48184
10,Florida,19645772,14934702,76.0,3171108,16.1,54569,0.3,9632,0.0,1246,0.0,401,0.0,1209,0.0,509085,2.6,139420,0.7,89462,0.5,97381,0.5,14073,0.1,27571,0.1,70279,0.4,70899,0.4,11024,0.1,3320,0.0,3328,0.0,1236,0.0,3140,0.0,493202,2.5,472082,2.4,151713,0.8,66755,0.3,84372,0.4,12192,0.1,19645772,19645772,15327007,78.0,3401179,17.3,156000,0.8,645847,3.3,35770,0.2,589673,3.0,19645772,19645772,4660733,23.7,668344,3.4,977995,5.0,1363419,6.9,1650975
