,State,HC01_VC38,HC01_VC43,HC03_VC43,HC01_VC44,HC03_VC44,HC01_VC45,HC03_VC45,HC01_VC46,HC03_VC46,HC01_VC47,HC03_VC47,HC01_VC48,HC03_VC48,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC51,HC03_VC51,HC01_VC52,HC03_VC52,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC63,HC03_VC63,HC01_VC64,HC03_VC64,HC01_VC65,HC03_VC65,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC71,HC03_VC71,HC01_VC72,HC03_VC72,HC01_VC73,HC03_VC73,HC01_VC74,HC03_VC74,HC01_VC75,HC03_VC75,HC01_VC76,HC03_VC76,HC01_VC77,HC03_VC77,HC01_VC81,HC03_VC81,HC01_VC82,HC03_VC82,HC01_VC83,HC03_VC83,HC01_VC84,HC03_VC84,HC01_VC85,HC03_VC85,HC01_VC86
1,Alabama,4747424,3307557,69.7,1244112,26.2,26399,0.6,9792,0.2,342,0.0,103,0.0,294,0.0,52668,1.1,11780,0.2,10175,0.2,5441,0.1,2690,0.1,7424,0.2,7928,0.2,7230,0.2,1256,0.0,325,0.0,556,0.0,121,0.0,254,0.0,49759,1.0,65673,1.4,18565,0.4,23545,0.5,7322,0.2,4564,0.1,4747424,4747424,3363923,70.9,1273257,26.8,57541,1.2,63877,1.3,2911,0.1,55383,1.2,4747424,4747424,173990,3.7,121153,2.6,11770,0.2,3475,0.1,37592
2,Alaska,700703,472504,67.4,23426,3.3,97628,13.9,794,0.1,250,0.0,233,0.0,418,0.1,35912,5.1,687,0.1,1897,0.3,19215,2.7,1481,0.2,4517,0.6,1244,0.2,6871,1.0,6848,1.0,923,0.1,278,0.0,4706,0.7,941,0.1,8981,1.3,55404,7.9,5150,0.7,31047,4.4,6828,1.0,2250,0.3,700703,700703,521576,74.4,33812,4.8,135379,19.3,46852,6.7,10048,1.4,12144,1.7,700703,700703,39212,5.6,22373,3.2,4973,0.7,875,0.1,10991
3,Arizona,6337373,4987541,78.7,252127,4.0,280986,4.4,3616,0.1,1093,0.0,140112,2.2,1961,0.0,172290,2.7,33504,0.5,36030,0.6,34199,0.5,10434,0.2,15227,0.2,22611,0.4,20285,0.3,11933,0.2,4522,0.1,1597,0.0,1742,0.0,4072,0.1,460186,7.3,172310,2.7,31433,0.5,36843,0.6,32019,0.5,5000,0.1,6337373,6337373,5136546,81.1,300779,4.7,333764,5.3,218790,3.5,22568,0.4,509117,8.0,6337373,6337373,1864375,29.4,1683280,26.6,30965,0.5,9112,0.1,141018
4,Arkansas,2895928,2271277,78.4,449283,15.5,17239,0.6,7242,0.3,251,0.0,29,0.0,266,0.0,34815,1.2,5747,0.2,4859,0.2,4397,0.2,1357,0.0,2836,0.1,5508,0.2,10111,0.3,5031,0.2,502,0.0,360,0.0,184,0.0,3985,0.1,64000,2.2,54283,1.9,13100,0.5,25801,0.9,4478,0.2,1705,0.1,2895928,2895928,2321330,80.2,467080,16.1,46654,1.6,41507,1.4,6190,0.2,70010,2.4,2895928,2895928,177869,6.1,137142,4.7,5446,0.2,921,0.0,34360
5,California,36969200,22860341,61.8,2252129,6.1,287712,0.8,23618,0.1,3295,0.0,8346,0.0,4363,0.0,4825271,13.1,519562,1.4,1257296,3.4,1193305,3.2,288181,0.8,445881,1.2,580321,1.6,540725,1.5,141382,0.4,23370,0.1,24381,0.1,38046,0.1,55585,0.2,5142478,13.9,1459887,3.9,183036,0.5,232847,0.6,383401,1.0,37621,0.1,36969200,36969200,24075407,65.1,2613349,7.1,654530,1.8,5399600,14.6,251729,0.7,5558214,15.0,36969200,36969200,13752743,37.2,11493037,31.1,183059,0.5,83192,0.2,1993455
6,Colorado,4966061,4167044,83.9,195640,3.9,48201,1.0,3608,0.1,656,0.0,6504,0.1,3505,0.1,134228,2.7,18008,0.4,23727,0.5,14296,0.3,11051,0.2,21664,0.4,22162,0.4,23320,0.5,5798,0.1,1689,0.0,1453,0.0,799,0.0,1857,0.0,255364,5.1,159786,3.2,29043,0.6,42865,0.9,31899,0.6,3176,0.1,4966061,4966061,4311246,86.8,241095,4.9,104464,2.1,178314,3.6,12900,0.3,291039,5.9,4966061,4966061,1011545,20.4,769790,15.5,21347,0.4,5634,0.1,214774
7,Connecticut,3558172,2796198,78.6,347941,9.8,8104,0.2,829,0.0,167,0.0,14,0.0,102,0.0,134108,3.8,45529,1.3,31426,0.9,11616,0.3,3739,0.1,9128,0.3,9431,0.3,23239,0.7,1327,0.0,486,0.0,276,0.0,175,0.0,390,0.0,188390,5.3,82104,2.3,26756,0.8,10873,0.3,11980,0.3,4678,0.1,3558172,3558172,2863778,80.5,392237,11.0,29327,0.8,151031,4.2,3015,0.1,208399,5.9,3558172,3558172,463407,13.0,48516,1.4,254563,7.2,9374,0.3,150954
8,Delaware,890856,630804,70.8,188519,21.2,3109,0.3,442,0.0,22,0.0,70,0.0,94,0.0,28726,3.2,11477,1.3,6560,0.7,4001,0.4,587,0.1,1626,0.2,1549,0.2,2926,0.3,442,0.0,236,0.0,65,0.0,72,0.0,69,0.0,19821,2.2,19435,2.2,7819,0.9,2853,0.3,2650,0.3,1487,0.2,890856,890856,646826,72.6,200620,22.5,8405,0.9,32916,3.7,1034,0.1,22143,2.5,890856,890856,70196,7.9,30059,3.4,21422,2.4,1757,0.2,16958
9,District of Columbia,593955,231122,38.9,308516,51.9,1779,0.3,120,0.0,0,0.0,50,0.0,30,0.0,20773,3.5,4718,0.8,5570,0.9,2354,0.4,1151,0.2,2167,0.4,1888,0.3,2925,0.5,311,0.1,66,0.0,13,0.0,0,0.0,232,0.0,20095,3.4,11359,1.9,2719,0.5,780,0.1,2911,0.5,1069,0.2,593955,593955,239379,40.3,315048,53.0,4753,0.8,25008,4.2,786,0.1,21706,3.7,593955,593955,53372,9.0,8916,1.5,3305,0.6,1858,0.3,39293
10,Florida,18688787,14270053,76.4,2946899,15.8,58192,0.3,9637,0.1,1562,0.0,693,0.0,1630,0.0,455403,2.4,129140,0.7,72140,0.4,87634,0.5,13754,0.1,25989,0.1,62645,0.3,64101,0.3,11005,0.1,2869,0.0,2363,0.0,1122,0.0,4651,0.0,564351,3.0,382884,2.0,115695,0.6,63659,0.3,61893,0.3,11335,0.1,18688787,18688787,14592164,78.1,3122969,16.7,147386,0.8,552482,3.0,24720,0.1,655522,3.5,18688787,18688787,4122759,22.1,610019,3.3,827544,4.4,1206102,6.5,1479094
11,Georgia,9600612,5849795,60.9,2922448,30.4,23979,0.2,6326,0.1,197,0.0,458,0.0,283,0.0,308677,3.2,89813,0.9,47030,0.5,19633,0.2,8018,0.1,53827,0.6,46928,0.5,43428,0.5,4653,0.0,1248,0.0,1315,0.0,1014,0.0,1076,0.0,330408,3.4,160652,1.7,53279,0.6,26418,0.3,25122,0.3,8324,0.1,9600612,9600612,5982409,62.3,3008623,31.3,68162,0.7,348588,3.6,9239,0.1,357831,3.7,9600612,9600612,824037,8.6,510584,5.3,69051,0.7,25208,0.3,219194
12,Hawaii,1346554,335908,24.9,21628,1.6,3198,0.2,487,0.0,58,0.0,313,0.0,63,0.0,524274,38.9,2430,0.2,56862,4.2,190793,14.2,190067,14.1,24627,1.8,9332,0.7,50163,3.7,129157,9.6,77082,5.7,1834,0.1,17902,1.3,32339,2.4,16293,1.2,316096,23.5,4372,0.3,9260,0.7,69124,5.1,1001,0.1,1346554,1346554,567787,42.2,39708,2.9,33088,2.5,770856,57.2,339751,25.2,34067,2.5,1346554,1346554,119059,8.8,35123,2.6,40319,3.0,1743,0.1,41874
13,Idaho,1549987,1431372,92.3,8823,0.6,19584,1.3,889,0.1,382,0.0,783,0.1,451,0.0,18714,1.2,2334,0.2,3594,0.2,2475,0.2,3054,0.2,2168,0.1,1423,0.1,3666,0.2,2425,0.2,587,0.0,664,0.0,204,0.0,970,0.1,31121,2.0,37948,2.4,4871,0.3,15491,1.0,7575,0.5,288,0.0,1549987,1549987,1467576,94.7,15678,1.0,36898,2.4,28199,1.8,5057,0.3,36853,2.4,1549987,1549987,168949,10.9,147504,9.5,3762,0.2,748,0.0,16935
14,Illinois,12790182,9214977,72.0,1859608,14.5,25216,0.2,3319,0.0,1197,0.0,500,0.0,786,0.0,583302,4.6,186613,1.5,107691,0.8,113440,0.9,18057,0.1,65060,0.5,25747,0.2,66694,0.5,3185,0.0,1087,0.0,921,0.0,390,0.0,787,0.0,869769,6.8,234125,1.8,70668,0.6,32657,0.3,47765,0.4,7529,0.1,12790182,12790182,9418181,73.6,1959210,15.3,77156,0.6,648668,5.1,9136,0.1,926365,7.2,12790182,12790182,1987211,15.5,1577155,12.3,178169,1.4,22923,0.2,208964
15,Indiana,6454254,5482893,85.0,576304,8.9,14772,0.2,3136,0.0,562,0.0,283,0.0,682,0.0,99194,1.5,26613,0.4,23243,0.4,10614,0.2,4837,0.1,10263,0.2,7189,0.1,16435,0.3,1233,0.0,517,0.0,153,0.0,199,0.0,364,0.0,148087,2.3,131771,2.0,49912,0.8,32560,0.5,16055,0.2,3794,0.1,6454254,6454254,5603295,86.8,640095,9.9,56619,0.9,120004,1.9,3952,0.1,169551,2.6,6454254,6454254,377169,5.8,291633,4.5,30019,0.5,4567,0.1,50950
16,Iowa,3032266,2782349,91.8,85714,2.8,9958,0.3,593,0.0,342,0.0,76,0.0,1717,0.1,52881,1.7,9532,0.3,9656,0.3,3613,0.1,1214,0.0,7288,0.2,10681,0.4,10897,0.4,1112,0.0,203,0.0,78,0.0,67,0.0,764,0.0,47376,1.6,52876,1.7,18554,0.6,14077,0.5,7143,0.2,1345,0.0,3032266,3032266,2831812,93.4,109459,3.6,27906,0.9,62278,2.1,2752,0.1,54719,1.8,3032266,3032266,144158,4.8,112480,3.7,5083,0.2,1468,0.0,25127
17,Kansas,2830985,2412703,85.2,163063,5.8,23860,0.8,5398,0.2,284,0.0,981,0.0,1044,0.0,67532,2.4,13445,0.5,12371,0.4,5682,0.2,1798,0.1,5172,0.2,14627,0.5,14437,0.5,1734,0.1,472,0.0,401,0.0,275,0.0,586,0.0,76328,2.7,85765,3.0,23901,0.8,28630,1.0,10177,0.4,5197,0.2,2830985,2830985,2489185,87.9,198402,7.0,61874,2.2,80642,2.8,3390,0.1,88196,3.1,2830985,2830985,287599,10.2,241068,8.5,8848,0.3,2530,0.1,35153
18,Kentucky,4316040,3808381,88.2,336628,7.8,8913,0.2,3215,0.1,203,0.0,120,0.0,246,0.0,47754,1.1,11137,0.3,9396,0.2,5149,0.1,4799,0.1,5190,0.1,5073,0.1,7010,0.2,2403,0.1,830,0.0,574,0.0,466,0.0,533,0.0,42767,1.0,69194,1.6,30338,0.7,16743,0.4,7689,0.2,1476,0.0,4316040,4316040,3872765,89.7,374029,8.7,30216,0.7,58377,1.4,3785,0.1,50522,1.2,4316040,4316040,124593,2.9,77382,1.8,11893,0.3,9091,0.2,26227
19,Louisiana,4484596,2838981,63.3,1429820,31.9,28154,0.6,3326,0.1,133,0.0,205,0.0,166,0.0,69355,1.5,9514,0.2,10519,0.2,6341,0.1,1719,0.0,3089,0.1,29297,0.7,8876,0.2,1719,0.0,531,0.0,377,0.0,317,0.0,494,0.0,51051,1.1,65516,1.5,20867,0.5,17456,0.4,7728,0.2,3928,0.1,4484596,4484596,2895512,64.6,1462380,32.6,53803,1.2,80561,1.8,3282,0.1,60209,1.3,4484596,4484596,183706,4.1,76467,1.7,10845,0.2,10778,0.2,85616
20,Maine,1328543,1268113,95.5,13979,1.1,7124,0.5,270,0.0,109,0.0,20,0.0,96,0.0,13745,1.0,1956,0.1,3261,0.2,1846,0.1,583,0.0,1435,0.1,2121,0.2,2543,0.2,310,0.0,142,0.0,82,0.0,17,0.0,69,0.0,3621,0.3,21651,1.6,3552,0.3,11571,0.9,3201,0.2,339,0.0,1328543,1328543,1288414,97.0,19116,1.4,20212,1.5,17714,1.3,858,0.1,5090,0.4,1328543,1328543,17307,1.3,4982,0.4,5142,0.4,764,0.1,6419
21,Maryland,5736545,3397326,59.2,1683842,29.4,16603,0.3,2309,0.0,312,0.0,415,0.0,130,0.0,312883,5.5,77338,1.3,69467,1.2,45189,0.8,7057,0.1,47979,0.8,25982,0.5,39871,0.7,2708,0.0,789,0.0,1094,0.0,101,0.0,724,0.0,183883,3.2,139300,2.4,44089,0.8,16487,0.3,28415,0.5,11284,0.2,5736545,5736545,3508753,61.2,1760053,30.7,53213,0.9,356943,6.2,6339,0.1,203550,3.5,5736545,5736545,451861,7.9,85014,1.5,41439,0.7,9858,0.2,315550
