,State,HC01_VC38,HC01_VC43,HC03_VC43,HC01_VC44,HC03_VC44,HC01_VC45,HC03_VC45,HC01_VC46,HC03_VC46,HC01_VC47,HC03_VC47,HC01_VC48,HC03_VC48,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC51,HC03_VC51,HC01_VC52,HC03_VC52,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC63,HC03_VC63,HC01_VC64,HC03_VC64,HC01_VC65,HC03_VC65,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC71,HC03_VC71,HC01_VC72,HC03_VC72,HC01_VC73,HC03_VC73,HC01_VC74,HC03_VC74,HC01_VC75,HC03_VC75,HC01_VC76,HC03_VC76,HC01_VC77,HC03_VC77,HC01_VC81,HC03_VC81,HC01_VC82,HC03_VC82,HC01_VC83,HC03_VC83,HC01_VC84,HC03_VC84,HC01_VC85,HC03_VC85,HC01_VC86
1,Alabama,4777326,3321318,69.5,1256097,26.3,26166,0.5,9604,0.2,268,0.0,143,0.0,339,0.0,54923,1.1,12413,0.3,10431,0.2,5642,0.1,2299,0.0,7928,0.2,8017,0.2,8193,0.2,1298,0.0,472,0.0,435,0.0,149,0.0,242,0.0,50685,1.1,66839,1.4,19957,0.4,23951,0.5,7384,0.2,3937,0.1,4777326,4777326,3379235,70.7,1285740,26.9,57219,1.2,66512,1.4,2901,0.1,56469,1.2,4777326,4777326,182268,3.8,127306,2.7,12386,0.3,3657,0.1,38919
2,Alaska,711139,477985,67.2,24219,3.4,98976,13.9,980,0.1,271,0.0,347,0.0,435,0.1,37968,5.3,673,0.1,1846,0.3,20571,2.9,1671,0.2,4312,0.6,1307,0.2,7588,1.1,7363,1.0,817,0.1,259,0.0,5171,0.7,1116,0.2,7836,1.1,56792,8.0,4953,0.7,31528,4.4,6978,1.0,2392,0.3,711139,711139,527814,74.2,34752,4.9,137862,19.4,49781,7.0,10758,1.5,11075,1.6,711139,711139,40371,5.7,22618,3.2,4920,0.7,1087,0.2,11746
3,Arizona,6410979,5085954,79.3,262284,4.1,283805,4.4,3151,0.0,996,0.0,141494,2.2,1807,0.0,177598,2.8,36075,0.6,36945,0.6,34100,0.5,10247,0.2,16598,0.3,22192,0.3,21441,0.3,12506,0.2,4772,0.1,1686,0.0,1782,0.0,4266,0.1,408851,6.4,179981,2.8,34289,0.5,39972,0.6,34986,0.5,4839,0.1,6410979,6410979,5241147,81.8,313735,4.9,340022,5.3,227957,3.6,24520,0.4,455347,7.1,6410979,6410979,1902946,29.7,1724678,26.9,32463,0.5,9485,0.1,136320
4,Arkansas,2916372,2285577,78.4,453062,15.5,17390,0.6,7306,0.3,115,0.0,43,0.0,219,0.0,35744,1.2,7781,0.3,4391,0.2,4445,0.2,1275,0.0,2345,0.1,5424,0.2,10083,0.3,5516,0.2,693,0.0,199,0.0,203,0.0,4421,0.2,62979,2.2,56104,1.9,13610,0.5,26120,0.9,5133,0.2,1570,0.1,2916372,2916372,2337691,80.2,471569,16.2,47333,1.6,42765,1.5,6973,0.2,68931,2.4,2916372,2916372,185239,6.4,144586,5.0,5241,0.2,860,0.0,34552
5,California,37325068,23252553,62.3,2254160,6.0,291505,0.8,23701,0.1,3033,0.0,7918,0.0,4501,0.0,4921543,13.2,536738,1.4,1286510,3.4,1204556,3.2,281570,0.8,452547,1.2,594930,1.6,564692,1.5,144236,0.4,22994,0.1,24781,0.1,38741,0.1,57720,0.2,4914220,13.2,1546851,4.1,200478,0.5,246172,0.7,412718,1.1,39546,0.1,37325068,37325068,24535918,65.7,2645965,7.1,680400,1.8,5545814,14.9,269476,0.7,5334489,14.3,37325068,37325068,14024109,37.6,11727067,31.4,189764,0.5,85124,0.2,2022154
6,Colorado,5042853,4243753,84.2,201424,4.0,49099,1.0,3534,0.1,822,0.0,7214,0.1,3678,0.1,136882,2.7,19171,0.4,25067,0.5,13906,0.3,11297,0.2,20900,0.4,22092,0.4,24449,0.5,6034,0.1,1665,0.0,1596,0.0,937,0.0,1836,0.0,238833,4.7,166828,3.3,30219,0.6,43704,0.9,34320,0.7,3020,0.1,5042853,5042853,4393408,87.1,248729,4.9,106437,2.1,185077,3.7,13851,0.3,275841,5.5,5042853,5042853,1040478,20.6,797148,15.8,24194,0.5,5838,0.1,213298
7,Connecticut,3572213,2802217,78.4,355660,10.0,8531,0.2,535,0.0,61,0.0,14,0.0,116,0.0,138355,3.9,47750,1.3,31722,0.9,11762,0.3,4025,0.1,8699,0.2,9765,0.3,24632,0.7,1472,0.0,446,0.0,418,0.0,247,0.0,361,0.0,178260,5.0,87718,2.5,28486,0.8,11247,0.3,13007,0.4,4660,0.1,3572213,3572213,2874530,80.5,402249,11.3,30710,0.9,156916,4.4,3616,0.1,200109,5.6,3572213,3572213,480185,13.4,49121,1.4,262095,7.3,10346,0.3,158623
8,Delaware,900131,634259,70.5,192629,21.4,2877,0.3,451,0.1,0,0.0,45,0.0,97,0.0,29177,3.2,11346,1.3,6973,0.8,3792,0.4,594,0.1,1584,0.2,1580,0.2,3308,0.4,377,0.0,189,0.0,29,0.0,50,0.0,109,0.0,19896,2.2,20916,2.3,8782,1.0,2984,0.3,3203,0.4,1231,0.1,900131,900131,652133,72.4,205367,22.8,8109,0.9,33756,3.8,857,0.1,22545,2.5,900131,900131,73230,8.1,30276,3.4,22795,2.5,1680,0.2,18479
9,District of Columbia,605759,239413,39.5,309263,51.1,2143,0.4,239,0.0,12,0.0,45,0.0,24,0.0,21440,3.5,4912,0.8,5506,0.9,2686,0.4,984,0.2,2331,0.4,1680,0.3,3341,0.6,312,0.1,61,0.0,27,0.0,0,0.0,224,0.0,20652,3.4,12536,2.1,3232,0.5,608,0.1,3412,0.6,1126,0.2,605759,605759,248485,41.0,316435,52.2,5007,0.8,26420,4.4,866,0.1,22441,3.7,605759,605759,56259,9.3,8939,1.5,3355,0.6,1920,0.3,42045
10,Florida,18885152,14438364,76.5,3005551,15.9,58119,0.3,9802,0.1,1177,0.0,611,0.0,1546,0.0,464587,2.5,127261,0.7,76109,0.4,88709,0.5,13705,0.1,25397,0.1,66017,0.3,67389,0.4,11575,0.1,3222,0.0,2589,0.0,1322,0.0,4442,0.0,497053,2.6,409903,2.2,128137,0.7,64582,0.3,66627,0.4,10829,0.1,18885152,18885152,14780950,78.3,3198937,16.9,149530,0.8,572288,3.0,29054,0.2,591432,3.1,18885152,18885152,4247427,22.5,619922,3.3,859957,4.6,1240414,6.6,1527134
