Port Code,Street Address,City,State,Postal Code,Field
0982,650 Hanger Road,Rome,NY,13441,Buffalo
0906,152 Air Cargo Road,N. Syracuse,NY,13212,Buffalo
0715,17013 State Route 30,Constable,NY,12926,Buffalo
1512,1901 Crossbeam Drive,Charlotte,NC,28217,Atlanta
1502,532-C North Regional Road,Greensboro,NC,27409,Atlanta
1511,534H 35th Street,Morehead City,NC,28557,Atlanta
1503,2400 John Brantley Boulevard,Morrisville,NC,27560,Atlanta
1501,721 Medical Center Drive,Wilmington,NC,28401,Atlanta
3410,10935 State Hwy 42,Ambrose,ND,58833-9405,Seattle
3413,10945 Hwy 256,Antler,ND,58711,Seattle
3421,10919 Hwy 14 NE,Souris,ND,58783,Seattle
3422,10947 Highway 281,Dunseith,ND,58329,Seattle
3411,3803 20th. Street N.,Fargo,ND,58102-1047,Seattle
3417,10935 HWY 85 NW,Fortuna,ND,58844-0037,Seattle
3427,2725 Airport Drive,Grand Forks,ND,58203-9600,Seattle
3408,10951 91st. Ave. NE,Hannah,ND,58239,Seattle
3415,10935 Hwy 4,Hansboro,ND,58339,Seattle
3416,10947 Hwy 1 N,Langdon,ND,58255,Seattle
3434,2400 North Broadway,Minot,ND,58703,Seattle
3404,10949 Hwy #18,Neche,ND,58265,Seattle
3420,10945 N 40,Noonan,ND,58765,Seattle
3406,10921 Hwy 8,Flaxton,ND,58737,Seattle
3401,10980 Hwy 29,Pembina,ND,58271,Seattle
3403,301 W Railway Ave,Portal,ND,58772,Seattle
3405,10935 Highway 30,St. John,ND,58369-6910,Seattle
3409,10949 State Hwy 20,Sarles,ND,58372,Seattle
3414,10927 HWY 28,Sherwood,ND,58782-9705,Seattle
3407,10955 State Hwy 32,Walhalla,ND,58282,Seattle
3419,10923 Hwy #83,Westhope,ND,58793,Seattle
3433,"421 Airport Road, Suite 108",Williston,ND,58801-2975,Seattle
4122,1170 Lake Avenue,Ashtabula,OH,44004,Chicago
4101,6747 Engle Road,Middleburg Heights,OH,44130,Chicago
4103,6431 Alum Creek Drive,Groveport,OH,43125,Chicago
4104,3800 Wright Drive,Vandalia,OH,45377,Chicago
4105,709 SE Catawba Rd.,Port Clinton,OH,43452,Chicago
5504,4300 Highline Blvd. Suite 250,Oklahoma City,OK,73108,Houston
5505,2222 North Cargo Road,Tulsa,OK,74115,Houston
2901,"#10 Pier 1, Suite 100",Astoria,OR,97103,Portland
2903,"3229 Broadway Street, Suite E",North Bend,OR,97459,Portland
2983,"3355 NE Cornell Road, #5",Hillsboro,OR,97124,Portland
2902,610 SE Bay Boulevard,Newport,OR,97365,Portland
2904,8337 NE Alderwood Road,Portland,OR,97220,
4106,Erie International Airport/Tom Ridge Field,Erie,PA,16505,Chicago
1109,Port of Harrisburg,Mechanicsburg,PA,17055,Baltimore
1101,2nd & Chestnut Streets,Philadelphia,PA,19106,Baltimore
1104,Pittsburgh International Airport,Pittsburgh,PA,15231,Baltimore
0501,"300 Jefferson Blvd, Suite 106",Warwick,RI,02886,Boston
0502,"300 Jefferson Boulevard, Suite 106",Warwick,RI,02886,Boston
1601,200 East Bay Street,Charleston,SC,29401,Atlanta
1604,2533A Airport Boulevard,West Columbia,SC,29170,Atlanta
1602,"State Ports Authority, Pier 31",Georgetown,SC,29442,Atlanta
1603,150 A West Phillips Road,Greer,SC,29650,Atlanta
1681,1100 Jetport Road,Myrtle Beach,SC,29577,Atlanta
3502,2801 N. Jaycee Lane,Sioux Falls,SD,57104,Chicago
2008,5959 Shallowford Road,Chattanooga,TN,37421,New Orleans
2016,"Duncan Federal Building, Room 435",Knoxville,TN,37902,New Orleans
2006,2813 Business Park Drive,Memphis,TN,38118,New Orleans
2007,612 Hangar Lane,Nashville,TN,37217,New Orleans
2082,"Port of Tri-Cities, TN/VA",Blountville,TN,37617,New Orleans
5584,4300 Westgrove Drive,Addison,TX,75001,Houston
5583,2221 Alliance Blvd.,Fort Worth,TX,76177-4300,Houston
5502,10801 Airport Blvd,Amarillo,TX,79111,Houston
5506,3600 Presidential Blvd. Ste. 111,Austin,TX,78719,Houston
2301,3300 S. Expressway77/83,Brownsville,TX,78521,Laredo
5382,2975 Hawthorne Drive,Conroe,TX,77303,Houston
5312,9149 State Highway 44,Corpus Christi,TX,78406,Houston
5501,"7501 Esters Blvd.,Suite 160",Irving,TX,75063,Houston
2302,3140 Spur 239,Del Rio,TX,78840,Laredo
2303,160 Garrison St.,Eagle Pass,TX,78852,Laredo
2402,Bridge of the Americas Port of Entry,El Paso,TX,79905,El Paso 
5311,801 Navigation,Freeport,TX,77541,Houston
2305,9901 S. Cage Boulevard,Pharr,TX,78577,Laredo
5309,2350 N. Sam Houston Pkwy E. #900,Houston,TX,77032-3100,Houston
5301,7141 Office City Drive,Houston,TX,77087,Houston
2304,"Lincoln/Juarez Bridge, Administrative Bldg. #2",Laredo,TX,78040,Laredo
5503,"Eastport, Lubbock International Airport",Lubbock,TX,79403,Houston
5585,1500 E. Industrial Blvd,Mckinney,TX,75069,Houston
5582,"9506 LaForce, 3rd Floor",Midland,TX,79711,Houston
2101,4550 Jimmy Johnson Blvd Suite 1,Port Arthur,TX,77642,Houston
5313,9149 State Highway 44,Corpus Christi,TX,78406,Houston
2403,Border Station Highway 67,Presidio,TX,79845,El Paso 
2309,100 South International Boulevard,Progreso,TX,78579,Laredo
2307,317 S. Pete Diaz Ave.,Rio Grande City,TX,78582,Laredo
2310,"405 N. Estrella St., Suite B",Roma,TX,78584,Laredo
2102,4550 Jimmy Johnson Blvd,Pt Arthur,TX,77642,Houston
5507,9800 Airport Blvd,San Antonio,TX,78216,Houston
5381,12888 Highway 6 South,Sugar Land,TX,77478,Houston
2404,1400 Lower Island Rd. (FM 1109),Tornillo,TX,79853,El Paso 
3303,3850 West Terminal Drive,Salt Lake City,UT,84116,San Francisco
0206,Rt. 253 at the Border,Beecher Falls,VT,05902,Boston
0207,228 Aviation Ave. - Suite 100,South Burlington,VT,05403,Boston
0209,Interstate 91,Derby Line,VT,05830,Boston
0212,Interstate 89 at the Border,Highgate Springs,VT,05460,Boston
0211,Rt. 114 at the Border,Norton,VT,05907,Boston
0203,705 Province Street,Richford,VT,05476,Boston
0201,"50 S. Main Street, Suite 100R",St. Albans,VT,05478,Boston
1410,No CBP personnel on site.,Front Royal,VA,22630,Atlanta
