,State,HC01_VC38,HC01_VC44,HC03_VC44,HC01_VC48,HC03_VC48,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC63,HC03_VC63,HC01_VC64,HC03_VC64,HC01_VC65,HC03_VC65,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC69,HC03_VC69,HC01_VC70,HC03_VC70,HC01_VC71,HC03_VC71,HC01_VC72,HC03_VC72,HC01_VC73,HC03_VC73,HC01_VC74,HC03_VC74,HC01_VC75,HC03_VC75,HC01_VC76,HC03_VC76,HC01_VC77,HC03_VC77,HC01_VC78,HC03_VC78,HC01_VC79,HC03_VC79,HC01_VC82,HC03_VC82,HC01_VC83,HC03_VC83,HC01_VC84,HC03_VC84,HC01_VC85,HC03_VC85,HC01_VC86,HC03_VC86,HC01_VC87,HC03_VC87,HC01_VC88,HC03_VC88,HC01_VC92
1,Alabama,91.2,76.4,(X),4850771,4850771,4761937,98.2,88834,1.8,4761937,98.2,3317702,68.4,1287167,26.5,25098,0.5,9673,0.2,110,0.0,166,0.0,154,0.0,62815,1.3,11823,0.2,13122,0.3,5873,0.1,2378,0.0,11630,0.2,9243,0.2,8746,0.2,2213,0.0,417,0.0,1040,0.0,244,0.0,512,0.0,66942,1.4,88834,1.8,28753,0.6,26908,0.6,12356,0.3,4288,0.1,4850771,4850771,3395851,70.0,1328088,27.4,60147,1.2,80895,1.7,4817,0.1,75331,1.6,4850771
2,Alaska,110.9,98.7,(X),738565,738565,675852,91.5,62713,8.5,675852,91.5,481971,65.3,23702,3.2,104995,14.2,714,0.1,653,0.1,225,0.0,427,0.1,45604,6.2,849,0.1,2134,0.3,25855,3.5,1526,0.2,4849,0.7,1208,0.2,9183,1.2,9075,1.2,1565,0.2,481,0.1,5253,0.7,1776,0.2,10505,1.4,62713,8.5,7070,1.0,32667,4.4,8335,1.1,1856,0.3,738565,738565,537924,72.8,36148,4.9,144878,19.6,59965,8.1,13910,1.9,14043,1.9,738565
3,Arizona,97.3,85.4,(X),6809946,6809946,6572038,96.5,237908,3.5,6572038,96.5,5277661,77.5,292831,4.3,300182,4.4,3005,0.0,913,0.0,146734,2.2,1836,0.0,213417,3.1,51370,0.8,41148,0.6,39921,0.6,9938,0.1,14903,0.2,29256,0.4,26881,0.4,13364,0.2,4104,0.1,2515,0.0,1767,0.0,4978,0.1,474583,7.0,237908,3.5,51136,0.8,52283,0.8,44461,0.7,6820,0.1,6809946,6809946,5480895,80.5,370788,5.4,378237,5.6,280213,4.1,29823,0.4,529255,7.8,6809946
4,Arkansas,93.9,79.5,(X),2977944,2977944,2906122,97.6,71822,2.4,2906122,97.6,2302141,77.3,459969,15.4,19476,0.7,8000,0.3,200,0.0,124,0.0,352,0.0,42368,1.4,10143,0.3,7204,0.2,4211,0.1,1134,0.0,2471,0.1,5826,0.2,11379,0.4,7062,0.2,405,0.0,114,0.0,448,0.0,6095,0.2,75106,2.5,71822,2.4,20253,0.7,28809,1.0,7904,0.3,2616,0.1,2977944,2977944,2367461,79.5,486996,16.4,53647,1.8,53191,1.8,9733,0.3,82241,2.8,2977944
5,California,97.0,79.4,(X),38982847,38982847,37148133,95.3,1834714,4.7,37148133,95.3,23607242,60.6,2263222,5.8,292018,0.7,19015,0.0,2598,0.0,9078,0.0,4215,0.0,5503672,14.1,712532,1.8,1486821,3.8,1275057,3.3,276302,0.7,466313,1.2,642758,1.6,643889,1.7,152027,0.4,24738,0.1,24640,0.1,40452,0.1,62197,0.2,5329952,13.7,1834714,4.7,255463,0.7,287704,0.7,530547,1.4,37760,0.1,38982847,38982847,25129934,64.5,2737283,7.0,740935,1.9,6306438,16.2,310720,0.8,5774603,14.8,38982847
6,Colorado,99.8,83.6,(X),5436519,5436519,5247610,96.5,188909,3.5,5247610,96.5,4576201,84.2,221155,4.1,51406,0.9,4582,0.1,841,0.0,7506,0.1,3650,0.1,164771,3.0,27931,0.5,32485,0.6,15463,0.3,11113,0.2,20757,0.4,24222,0.4,32800,0.6,8580,0.2,2424,0.0,1648,0.0,1810,0.0,2698,0.0,225497,4.1,188909,3.5,39728,0.7,43129,0.8,41476,0.8,4580,0.1,5436519,5436519,4744490,87.3,281832,5.2,113069,2.1,222407,4.1,19139,0.4,262722,4.8,5436519
7,Connecticut,92.9,75.7,(X),3594478,3594478,3483824,96.9,110654,3.1,3483824,96.9,2757064,76.7,376240,10.5,9385,0.3,710,0.0,155,0.0,46,0.0,40,0.0,156450,4.4,57571,1.6,37834,1.1,12930,0.4,3820,0.1,10284,0.3,9523,0.3,24488,0.7,931,0.0,246,0.0,160,0.0,180,0.0,345,0.0,183754,5.1,110654,3.1,31768,0.9,12494,0.3,20176,0.6,5191,0.1,3594478,3594478,2846570,79.2,432616,12.0,36335,1.0,184858,5.1,4755,0.1,211484,5.9,3594478
8,Delaware,91.5,80.0,(X),943732,943732,917472,97.2,26260,2.8,917472,97.2,652170,69.1,206290,21.9,3482,0.4,481,0.1,13,0.0,46,0.0,0,0.0,36553,3.9,15455,1.6,8889,0.9,3986,0.4,510,0.1,2370,0.3,1486,0.2,3857,0.4,465,0.0,114,0.0,216,0.0,33,0.0,102,0.0,18512,2.0,26260,2.8,12002,1.3,2706,0.3,3550,0.4,1796,0.2,943732,943732,674085,71.4,223594,23.7,9708,1.0,42364,4.5,1490,0.2,21282,2.3,943732
9,District of Columbia,88.1,68.9,(X),672391,672391,653098,97.1,19293,2.9,653098,97.1,273471,40.7,321062,47.7,1757,0.3,291,0.0,5,0.0,92,0.0,84,0.0,25558,3.8,6190,0.9,6945,1.0,3027,0.5,1285,0.2,2794,0.4,2000,0.3,3317,0.5,289,0.0,74,0.0,77,0.0,78,0.0,60,0.0,30961,4.6,19293,2.9,4551,0.7,1387,0.2,5765,0.9,1431,0.2,672391,672391,288443,42.9,330240,49.1,6304,0.9,33877,5.0,1067,0.2,34110,5.1,672391
10,Florida,93.5,81.9,(X),20278447,20278447,19763624,97.5,514823,2.5,19763624,97.5,15343997,75.7,3270863,16.1,56730,0.3,9254,0.0,1279,0.0,588,0.0,1272,0.0,543394,2.7,153968,0.8,97157,0.5,99641,0.5,14570,0.1,28712,0.1,71823,0.4,77523,0.4,12342,0.1,3116,0.0,3426,0.0,1961,0.0,3839,0.0,536298,2.6,514823,2.5,174390,0.9,72785,0.4,88947,0.4,12721,0.1,20278447,20278447,15776621,77.8,3530474,17.4,166957,0.8,689240,3.4,39250,0.2,634828,3.1,20278447
