,State,HC01_VC43,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC51,HC03_VC51,HC01_VC52,HC03_VC52,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC63,HC03_VC63,HC01_VC64,HC03_VC64,HC01_VC65,HC03_VC65,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC69,HC03_VC69,HC01_VC70,HC03_VC70,HC01_VC71,HC03_VC71,HC01_VC72,HC03_VC72,HC01_VC73,HC03_VC73,HC01_VC74,HC03_VC74,HC01_VC77,HC03_VC77,HC01_VC78,HC03_VC78,HC01_VC79,HC03_VC79,HC01_VC80,HC03_VC80,HC01_VC81,HC03_VC81,HC01_VC82,HC03_VC82,HC01_VC83,HC03_VC83,HC01_VC87,HC03_VC87,HC01_VC88,HC03_VC88,HC01_VC89,HC03_VC89,HC01_VC90,HC03_VC90,HC01_VC91,HC03_VC91,HC01_VC92
1,Alabama,4817678,3327891,69.1,1269808,26.4,25181,0.5,9651,0.2,188,0.0,147,0.0,258,0.0,58322,1.2,12714,0.3,11374,0.2,5181,0.1,1541,0.0,9638,0.2,9363,0.2,8511,0.2,1430,0.0,520,0.0,481,0.0,152,0.0,277,0.0,58618,1.2,76428,1.6,23804,0.5,25631,0.5,9347,0.2,4041,0.1,4817678,4817678,3393927,70.4,1304167,27.1,58134,1.2,72528,1.5,3737,0.1,65898,1.4,4817678,4817678,191838,4.0,128902,2.7,14814,0.3,4667,0.1,43455
2,Alaska,728300,484195,66.5,25148,3.5,102743,14.1,712,0.1,273,0.0,321,0.0,456,0.1,40976,5.6,720,0.1,2111,0.3,20909,2.9,1886,0.3,4858,0.7,862,0.1,9630,1.3,8335,1.1,1274,0.2,356,0.0,5102,0.7,1603,0.2,8382,1.2,58521,8.0,5995,0.8,30774,4.2,7821,1.1,2097,0.3,728300,728300,535675,73.6,36694,5.0,141127,19.4,54272,7.5,12349,1.7,11650,1.6,728300,728300,45247,6.2,25922,3.6,6312,0.9,855,0.1,12158
3,Arizona,6561516,5174082,78.9,274380,4.2,290780,4.4,3399,0.1,1108,0.0,144298,2.2,1891,0.0,191071,2.9,39488,0.6,37970,0.6,36052,0.5,10029,0.2,15602,0.2,25649,0.4,26281,0.4,12638,0.2,4349,0.1,1829,0.0,2061,0.0,4399,0.1,418033,6.4,200532,3.1,41079,0.6,42363,0.6,39272,0.6,5513,0.1,6561516,6561516,5344789,81.5,335856,5.1,352996,5.4,249495,3.8,27079,0.4,466855,7.1,6561516,6561516,1977026,30.1,1784013,27.2,37301,0.6,12778,0.2,142934
4,Arkansas,2947036,2306073,78.3,458136,15.5,18337,0.6,7367,0.2,122,0.0,167,0.0,105,0.0,38409,1.3,8826,0.3,6072,0.2,5023,0.2,924,0.0,1950,0.1,5752,0.2,9862,0.3,6278,0.2,543,0.0,143,0.0,82,0.0,5510,0.2,60565,2.1,59238,2.0,15726,0.5,25835,0.9,6175,0.2,1405,0.0,2947036,2947036,2360719,80.1,478513,16.2,48193,1.6,46905,1.6,8517,0.3,66295,2.2,2947036,2947036,198109,6.7,151482,5.1,5121,0.2,1230,0.0,40276
5,California,38066920,23650913,62.1,2262323,5.9,287360,0.8,22525,0.1,2544,0.0,8862,0.0,4872,0.0,5130536,13.5,595717,1.6,1353021,3.6,1222249,3.2,277802,0.7,461748,1.2,622385,1.6,597614,1.6,147286,0.4,23685,0.1,24098,0.1,40075,0.1,59428,0.2,4890329,12.8,1698173,4.5,225328,0.6,265684,0.7,465080,1.2,39939,0.1,38066920,38066920,25049792,65.8,2697319,7.1,707548,1.9,5846268,15.4,299503,0.8,5328475,14.0,38066920,38066920,14534449,38.2,12108744,31.8,207878,0.5,92022,0.2,2125805
6,Colorado,5197580,4364911,84.0,209062,4.0,49917,1.0,3997,0.1,910,0.0,7233,0.1,3467,0.1,146561,2.8,21034,0.4,27873,0.5,13818,0.3,10819,0.2,21963,0.4,23933,0.5,27121,0.5,6641,0.1,2380,0.0,1542,0.0,862,0.0,1857,0.0,240282,4.6,180206,3.5,33013,0.6,43020,0.8,37675,0.7,4127,0.1,5197580,5197580,4523964,87.0,263425,5.1,110856,2.1,200876,3.9,16502,0.3,279551,5.4,5197580,5197580,1088602,20.9,820892,15.8,27809,0.5,6808,0.1,233093
7,Connecticut,3592053,2789105,77.6,365871,10.2,8036,0.2,646,0.0,47,0.0,41,0.0,84,0.0,145842,4.1,49669,1.4,34736,1.0,13201,0.4,3852,0.1,9545,0.3,9492,0.3,25347,0.7,1105,0.0,289,0.0,331,0.0,235,0.0,250,0.0,183297,5.1,98797,2.8,30434,0.8,11919,0.3,16498,0.5,4706,0.1,3592053,3592053,2869748,79.9,416002,11.6,31529,0.9,169617,4.7,4035,0.1,208673,5.8,3592053,3592053,512795,14.3,52345,1.5,275556,7.7,10885,0.3,174009
8,Delaware,917060,639354,69.7,198028,21.6,3134,0.3,297,0.0,0,0.0,22,0.0,76,0.0,31745,3.5,13354,1.5,7390,0.8,3596,0.4,492,0.1,1983,0.2,1386,0.2,3544,0.4,494,0.1,244,0.0,142,0.0,12,0.0,96,0.0,20369,2.2,23936,2.6,10474,1.1,3094,0.3,3580,0.4,1200,0.1,917060,917060,659871,72.0,213065,23.2,8865,1.0,36923,4.0,1208,0.1,23153,2.5,917060,917060,78598,8.6,31362,3.4,25011,2.7,2355,0.3,19870
9,District of Columbia,633736,254955,40.2,314138,49.6,2072,0.3,258,0.0,19,0.0,60,0.0,82,0.0,22785,3.6,5116,0.8,6428,1.0,2753,0.4,1310,0.2,2536,0.4,1560,0.2,3082,0.5,195,0.0,45,0.0,68,0.0,33,0.0,49,0.0,23999,3.8,15592,2.5,3483,0.5,1191,0.2,4844,0.8,912,0.1,633736,633736,267064,42.1,321558,50.7,5778,0.9,29657,4.7,910,0.1,26276,4.1,633736,633736,62637,9.9,9610,1.5,4035,0.6,2112,0.3,46880
10,Florida,19361792,14747196,76.2,3114841,16.1,59121,0.3,10455,0.1,1385,0.0,543,0.0,1250,0.0,490833,2.5,132347,0.7,85598,0.4,92454,0.5,13641,0.1,26010,0.1,71784,0.4,68999,0.4,12128,0.1,3498,0.0,3512,0.0,1157,0.0,3961,0.0,484274,2.5,453399,2.3,145163,0.7,64842,0.3,78475,0.4,11567,0.1,19361792,19361792,15122879,78.1,3335877,17.2,157018,0.8,619839,3.2,36242,0.2,579779,3.0,19361792,19361792,4517191,23.3,646081,3.3,936290,4.8,1331893,6.9,1602927
