,State,Year,HC01_VC38,HC01_VC43,HC03_VC43,HC01_VC44,HC03_VC44,HC01_VC45,HC03_VC45,HC01_VC46,HC03_VC46,HC01_VC47,HC03_VC47,HC01_VC48,HC03_VC48,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC51,HC03_VC51,HC01_VC52,HC03_VC52,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC63,HC03_VC63,HC01_VC64,HC03_VC64,HC01_VC65,HC03_VC65,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC71,HC03_VC71,HC01_VC72,HC03_VC72,HC01_VC73,HC03_VC73,HC01_VC74,HC03_VC74,HC01_VC75,HC03_VC75,HC01_VC76,HC03_VC76,HC01_VC77,HC03_VC77,HC01_VC81,HC03_VC81,HC01_VC82,HC03_VC82,HC01_VC83,HC03_VC83,HC01_VC84,HC03_VC84,HC01_VC85,HC03_VC85,HC01_VC86
37,Oregon,2010,3761925,3220250,85.6,66427,1.8,60612,1.6,4103,0.1,1579,0.0,1055,0.0,1323,0.0,135518,3.6,13676,0.4,29225,0.8,15721,0.4,13448,0.4,16055,0.4,27389,0.7,20004,0.5,12100,0.3,2927,0.1,1887,0.1,554,0.0,6732,0.2,135825,3.6,131193,3.5,17782,0.5,48998,1.3,29563,0.8,1697,0.0,3761925,3761925,3343241,88.9,92533,2.5,118793,3.2,173469,4.6,21874,0.6,153195,4.1,3761925,3761925,420195,11.2,353561,9.4,7944,0.2,3991,0.1,54699
38,Pennsylvania,2010,12612705,10460096,82.9,1347052,10.7,18205,0.1,2968,0.0,293,0.0,360,0.0,597,0.0,332435,2.6,100269,0.8,78547,0.6,21054,0.2,6593,0.1,38676,0.3,40923,0.3,46373,0.4,3012,0.0,839,0.0,459,0.0,434,0.0,1280,0.0,255069,2.0,196836,1.6,80475,0.6,28976,0.2,27062,0.2,10588,0.1,12612705,12612705,10628758,84.3,1460084,11.6,68238,0.5,370916,2.9,7076,0.1,288173,2.3,12612705,12612705,656508,5.2,115235,0.9,351084,2.8,16759,0.1,173430
39,Rhode Island,2010,1056389,866678,82.0,62082,5.9,4521,0.4,88,0.0,0,0.0,35,0.0,17,0.0,30991,2.9,3659,0.3,7635,0.7,3716,0.4,480,0.0,2461,0.2,1239,0.1,11801,1.1,357,0.0,64,0.0,209,0.0,0,0.0,84,0.0,68281,6.5,23479,2.2,6522,0.6,3840,0.4,3072,0.3,1704,0.2,1056389,1056389,885501,83.8,73967,7.0,11957,1.1,34826,3.3,757,0.1,74825,7.1,1056389,1056389,124432,11.8,8858,0.8,32012,3.0,2030,0.2,81532
40,South Carolina,2010,4511428,3034000,67.3,1269484,28.1,14095,0.3,3227,0.1,197,0.0,46,0.0,328,0.0,54288,1.2,12690,0.3,9471,0.2,9426,0.2,2774,0.1,4468,0.1,6384,0.1,9075,0.2,2053,0.0,561,0.0,729,0.0,162,0.0,601,0.0,70689,1.6,66819,1.5,25383,0.6,15432,0.3,9407,0.2,3879,0.1,4511428,4511428,3092346,68.5,1304369,28.9,36209,0.8,67598,1.5,3918,0.1,77459,1.7,4511428,4511428,208754,4.6,128752,2.9,23168,0.5,4956,0.1,51878
41,South Dakota,2010,799462,692330,86.6,8874,1.1,68215,8.5,223,0.0,564,0.1,302,0.0,59765,7.5,7126,0.9,723,0.1,1170,0.1,1095,0.1,273,0.0,946,0.1,1363,0.2,1556,0.2,241,0.0,70,0.0,160,0.0,7,0.0,4,0.0,7125,0.9,15551,1.9,2437,0.3,7822,1.0,1389,0.2,628,0.1,799462,799462,706088,88.3,12908,1.6,78340,9.8,9104,1.1,573,0.1,9134,1.1,799462,799462,20444,2.6,13575,1.7,1484,0.2,144,0.0,5241
42,Tennessee,2010,6234968,4910745,78.8,1037376,16.6,15237,0.2,5356,0.1,395,0.0,195,0.0,386,0.0,87257,1.4,19693,0.3,15777,0.3,9263,0.1,4449,0.1,10264,0.2,9376,0.2,18435,0.3,2987,0.0,1102,0.0,907,0.0,541,0.0,437,0.0,86056,1.4,95310,1.5,30055,0.5,31227,0.5,11607,0.2,3767,0.1,6234968,6234968,4998025,80.2,1077583,17.3,54352,0.9,102897,1.7,5362,0.1,97768,1.6,6234968,6234968,261448,4.2,172662,2.8,19312,0.3,6589,0.1,62885
43,Texas,2010,24311891,17503446,72.0,2864666,11.8,119680,0.5,18023,0.1,970,0.0,2158,0.0,1859,0.0,904831,3.7,230842,0.9,153386,0.6,100262,0.4,19460,0.1,64351,0.3,204999,0.8,131531,0.5,19005,0.1,5388,0.0,5768,0.0,1826,0.0,6023,0.0,2411546,9.9,488717,2.0,95449,0.4,106865,0.4,68681,0.3,16322,0.1,24311891,24311891,17928861,73.7,3019735,12.4,267204,1.1,1004701,4.1,31382,0.1,2576587,10.6,24311891,24311891,8917477,36.7,7704044,31.7,119149,0.5,39603,0.2,1054681
44,Utah,2010,2657236,2375876,89.4,27030,1.0,30831,1.2,976,0.0,362,0.0,16899,0.6,437,0.0,53046,2.0,5011,0.2,11902,0.4,5675,0.2,6830,0.3,5944,0.2,6869,0.3,10815,0.4,23944,0.9,2059,0.1,515,0.0,8970,0.3,12400,0.5,90925,3.4,55584,2.1,8814,0.3,11562,0.4,14123,0.5,492,0.0,2657236,2657236,2427617,91.4,38161,1.4,44941,1.7,70624,2.7,32522,1.2,101910,3.8,2657236,2657236,326806,12.3,246844,9.3,6129,0.2,1967,0.1,71866
45,Vermont,2010,624258,596947,95.6,5494,0.9,1832,0.3,77,0.0,23,0.0,47,0.0,8,0.0,7396,1.2,1379,0.2,1792,0.3,345,0.1,378,0.1,901,0.1,1214,0.2,1387,0.2,87,0.0,28,0.0,22,0.0,22,0.0,15,0.0,2363,0.4,10139,1.6,2416,0.4,4702,0.8,1678,0.3,82,0.0,624258,624258,606762,97.2,8463,1.4,7002,1.1,9462,1.5,359,0.1,2946,0.5,624258,624258,9154,1.5,2757,0.4,2295,0.4,566,0.1,3536
46,Virginia,2010,7841754,5479975,69.9,1532150,19.5,24941,0.3,4361,0.1,621,0.0,659,0.0,398,0.0,416549,5.3,96091,1.2,60272,0.8,64588,0.8,10527,0.1,70670,0.9,53542,0.7,60859,0.8,5711,0.1,1405,0.0,1937,0.0,805,0.0,1564,0.0,201692,2.6,180736,2.3,53287,0.7,24989,0.3,43572,0.6,10004,0.1,7841754,7841754,5632103,71.8,1616145,20.6,68522,0.9,476755,6.1,12182,0.2,230376,2.9,7841754,7841754,574966,7.3,146743,1.9,69861,0.9,14652,0.2,343710
47,Washington,2010,6561297,5199167,79.2,229885,3.5,95212,1.5,4779,0.1,2607,0.0,1478,0.0,2458,0.0,457771,7.0,52187,0.8,93112,1.4,86650,1.3,38065,0.6,61777,0.9,63678,1.0,62302,0.9,35706,0.5,5490,0.1,9610,0.1,11681,0.2,8925,0.1,271417,4.1,272139,4.1,47743,0.7,68854,1.0,73381,1.1,5538,0.1,6561297,6561297,5443555,83.0,304613,4.6,187297,2.9,559454,8.5,58689,0.9,305397,4.7,6561297,6561297,691548,10.5,563256,8.6,24253,0.4,7166,0.1,96873
48,West Virginia,2010,1840802,1734615,94.2,58968,3.2,3139,0.2,1146,0.1,170,0.0,5,0.0,95,0.0,11482,0.6,2949,0.2,2415,0.1,1889,0.1,749,0.0,857,0.0,986,0.1,1637,0.1,529,0.0,228,0.0,175,0.0,80,0.0,46,0.0,4137,0.2,27932,1.5,9360,0.5,11933,0.6,2408,0.1,984,0.1,1840802,1840802,1760982,95.7,70842,3.8,17339,0.9,14523,0.8,998,0.1,5664,0.3,1840802,1840802,20955,1.1,9120,0.5,2842,0.2,918,0.0,8075
49,Wisconsin,2010,5637947,4914551,87.2,348662,6.2,49189,0.9,1155,0.0,14672,0.3,203,0.0,675,0.0,122442,2.2,19909,0.4,17219,0.3,7834,0.1,2621,0.0,8809,0.2,4461,0.1,61589,1.1,1553,0.0,638,0.0,481,0.0,43,0.0,391,0.0,107480,1.9,94070,1.7,29240,0.5,23607,0.4,15372,0.3,3374,0.1,5637947,5637947,5000206,88.7,388532,6.9,81852,1.5,141310,2.5,3542,0.1,122704,2.2,5637947,5637947,310549,5.5,229390,4.1,41417,0.7,3082,0.1,36660
50,Wyoming,2010,545579,498326,91.3,4135,0.8,12786,2.3,237,0.0,466,0.1,448,0.1,1168,0.2,4138,0.8,491,0.1,862,0.2,959,0.2,599,0.1,468,0.1,280,0.1,479,0.1,242,0.0,62,0.0,46,0.0,86,0.0,48,0.0,11752,2.2,14200,2.6,1641,0.3,7478,1.4,1288,0.2,100,0.0,545579,545579,511923,93.8,6287,1.2,20722,3.8,5605,1.0,605,0.1,15005,2.8,545579,545579,45782,8.4,32892,6.0,742,0.1,247,0.0,11901
51,Puerto Rico,2010,3762322,2761508,73.4,274843,7.3,7415,0.2,0,0.0,0,0.0,169,0.0,0,0.0,12414,0.3,9337,0.2,2185,0.1,100,0.0,16,0.0,108,0.0,168,0.0,500,0.0,101,0.0,24,0.0,41,0.0,0,0.0,36,0.0,395995,10.5,310046,8.2,280979,7.5,948,0.0,934,0.0,880,0.0,3762322,3762322,3064171,81.4,568037,15.1,12981,0.3,15029,0.4,410,0.0,417870,11.1,3762322,3762322,3716870,98.8,10432,0.3,3592847,95.5,17505,0.5,96086
52,Alabama,2011,4747424,3307557,69.7,1244112,26.2,26399,0.6,9792,0.2,342,0.0,103,0.0,294,0.0,52668,1.1,11780,0.2,10175,0.2,5441,0.1,2690,0.1,7424,0.2,7928,0.2,7230,0.2,1256,0.0,325,0.0,556,0.0,121,0.0,254,0.0,49759,1.0,65673,1.4,18565,0.4,23545,0.5,7322,0.2,4564,0.1,4747424,4747424,3363923,70.9,1273257,26.8,57541,1.2,63877,1.3,2911,0.1,55383,1.2,4747424,4747424,173990,3.7,121153,2.6,11770,0.2,3475,0.1,37592
53,Alaska,2011,700703,472504,67.4,23426,3.3,97628,13.9,794,0.1,250,0.0,233,0.0,418,0.1,35912,5.1,687,0.1,1897,0.3,19215,2.7,1481,0.2,4517,0.6,1244,0.2,6871,1.0,6848,1.0,923,0.1,278,0.0,4706,0.7,941,0.1,8981,1.3,55404,7.9,5150,0.7,31047,4.4,6828,1.0,2250,0.3,700703,700703,521576,74.4,33812,4.8,135379,19.3,46852,6.7,10048,1.4,12144,1.7,700703,700703,39212,5.6,22373,3.2,4973,0.7,875,0.1,10991
54,Arizona,2011,6337373,4987541,78.7,252127,4.0,280986,4.4,3616,0.1,1093,0.0,140112,2.2,1961,0.0,172290,2.7,33504,0.5,36030,0.6,34199,0.5,10434,0.2,15227,0.2,22611,0.4,20285,0.3,11933,0.2,4522,0.1,1597,0.0,1742,0.0,4072,0.1,460186,7.3,172310,2.7,31433,0.5,36843,0.6,32019,0.5,5000,0.1,6337373,6337373,5136546,81.1,300779,4.7,333764,5.3,218790,3.5,22568,0.4,509117,8.0,6337373,6337373,1864375,29.4,1683280,26.6,30965,0.5,9112,0.1,141018
55,Arkansas,2011,2895928,2271277,78.4,449283,15.5,17239,0.6,7242,0.3,251,0.0,29,0.0,266,0.0,34815,1.2,5747,0.2,4859,0.2,4397,0.2,1357,0.0,2836,0.1,5508,0.2,10111,0.3,5031,0.2,502,0.0,360,0.0,184,0.0,3985,0.1,64000,2.2,54283,1.9,13100,0.5,25801,0.9,4478,0.2,1705,0.1,2895928,2895928,2321330,80.2,467080,16.1,46654,1.6,41507,1.4,6190,0.2,70010,2.4,2895928,2895928,177869,6.1,137142,4.7,5446,0.2,921,0.0,34360
56,California,2011,36969200,22860341,61.8,2252129,6.1,287712,0.8,23618,0.1,3295,0.0,8346,0.0,4363,0.0,4825271,13.1,519562,1.4,1257296,3.4,1193305,3.2,288181,0.8,445881,1.2,580321,1.6,540725,1.5,141382,0.4,23370,0.1,24381,0.1,38046,0.1,55585,0.2,5142478,13.9,1459887,3.9,183036,0.5,232847,0.6,383401,1.0,37621,0.1,36969200,36969200,24075407,65.1,2613349,7.1,654530,1.8,5399600,14.6,251729,0.7,5558214,15.0,36969200,36969200,13752743,37.2,11493037,31.1,183059,0.5,83192,0.2,1993455
57,Colorado,2011,4966061,4167044,83.9,195640,3.9,48201,1.0,3608,0.1,656,0.0,6504,0.1,3505,0.1,134228,2.7,18008,0.4,23727,0.5,14296,0.3,11051,0.2,21664,0.4,22162,0.4,23320,0.5,5798,0.1,1689,0.0,1453,0.0,799,0.0,1857,0.0,255364,5.1,159786,3.2,29043,0.6,42865,0.9,31899,0.6,3176,0.1,4966061,4966061,4311246,86.8,241095,4.9,104464,2.1,178314,3.6,12900,0.3,291039,5.9,4966061,4966061,1011545,20.4,769790,15.5,21347,0.4,5634,0.1,214774
58,Connecticut,2011,3558172,2796198,78.6,347941,9.8,8104,0.2,829,0.0,167,0.0,14,0.0,102,0.0,134108,3.8,45529,1.3,31426,0.9,11616,0.3,3739,0.1,9128,0.3,9431,0.3,23239,0.7,1327,0.0,486,0.0,276,0.0,175,0.0,390,0.0,188390,5.3,82104,2.3,26756,0.8,10873,0.3,11980,0.3,4678,0.1,3558172,3558172,2863778,80.5,392237,11.0,29327,0.8,151031,4.2,3015,0.1,208399,5.9,3558172,3558172,463407,13.0,48516,1.4,254563,7.2,9374,0.3,150954
59,Delaware,2011,890856,630804,70.8,188519,21.2,3109,0.3,442,0.0,22,0.0,70,0.0,94,0.0,28726,3.2,11477,1.3,6560,0.7,4001,0.4,587,0.1,1626,0.2,1549,0.2,2926,0.3,442,0.0,236,0.0,65,0.0,72,0.0,69,0.0,19821,2.2,19435,2.2,7819,0.9,2853,0.3,2650,0.3,1487,0.2,890856,890856,646826,72.6,200620,22.5,8405,0.9,32916,3.7,1034,0.1,22143,2.5,890856,890856,70196,7.9,30059,3.4,21422,2.4,1757,0.2,16958
60,District of Columbia,2011,593955,231122,38.9,308516,51.9,1779,0.3,120,0.0,0,0.0,50,0.0,30,0.0,20773,3.5,4718,0.8,5570,0.9,2354,0.4,1151,0.2,2167,0.4,1888,0.3,2925,0.5,311,0.1,66,0.0,13,0.0,0,0.0,232,0.0,20095,3.4,11359,1.9,2719,0.5,780,0.1,2911,0.5,1069,0.2,593955,593955,239379,40.3,315048,53.0,4753,0.8,25008,4.2,786,0.1,21706,3.7,593955,593955,53372,9.0,8916,1.5,3305,0.6,1858,0.3,39293
61,Florida,2011,18688787,14270053,76.4,2946899,15.8,58192,0.3,9637,0.1,1562,0.0,693,0.0,1630,0.0,455403,2.4,129140,0.7,72140,0.4,87634,0.5,13754,0.1,25989,0.1,62645,0.3,64101,0.3,11005,0.1,2869,0.0,2363,0.0,1122,0.0,4651,0.0,564351,3.0,382884,2.0,115695,0.6,63659,0.3,61893,0.3,11335,0.1,18688787,18688787,14592164,78.1,3122969,16.7,147386,0.8,552482,3.0,24720,0.1,655522,3.5,18688787,18688787,4122759,22.1,610019,3.3,827544,4.4,1206102,6.5,1479094
62,Georgia,2011,9600612,5849795,60.9,2922448,30.4,23979,0.2,6326,0.1,197,0.0,458,0.0,283,0.0,308677,3.2,89813,0.9,47030,0.5,19633,0.2,8018,0.1,53827,0.6,46928,0.5,43428,0.5,4653,0.0,1248,0.0,1315,0.0,1014,0.0,1076,0.0,330408,3.4,160652,1.7,53279,0.6,26418,0.3,25122,0.3,8324,0.1,9600612,9600612,5982409,62.3,3008623,31.3,68162,0.7,348588,3.6,9239,0.1,357831,3.7,9600612,9600612,824037,8.6,510584,5.3,69051,0.7,25208,0.3,219194
63,Hawaii,2011,1346554,335908,24.9,21628,1.6,3198,0.2,487,0.0,58,0.0,313,0.0,63,0.0,524274,38.9,2430,0.2,56862,4.2,190793,14.2,190067,14.1,24627,1.8,9332,0.7,50163,3.7,129157,9.6,77082,5.7,1834,0.1,17902,1.3,32339,2.4,16293,1.2,316096,23.5,4372,0.3,9260,0.7,69124,5.1,1001,0.1,1346554,1346554,567787,42.2,39708,2.9,33088,2.5,770856,57.2,339751,25.2,34067,2.5,1346554,1346554,119059,8.8,35123,2.6,40319,3.0,1743,0.1,41874
64,Idaho,2011,1549987,1431372,92.3,8823,0.6,19584,1.3,889,0.1,382,0.0,783,0.1,451,0.0,18714,1.2,2334,0.2,3594,0.2,2475,0.2,3054,0.2,2168,0.1,1423,0.1,3666,0.2,2425,0.2,587,0.0,664,0.0,204,0.0,970,0.1,31121,2.0,37948,2.4,4871,0.3,15491,1.0,7575,0.5,288,0.0,1549987,1549987,1467576,94.7,15678,1.0,36898,2.4,28199,1.8,5057,0.3,36853,2.4,1549987,1549987,168949,10.9,147504,9.5,3762,0.2,748,0.0,16935
65,Illinois,2011,12790182,9214977,72.0,1859608,14.5,25216,0.2,3319,0.0,1197,0.0,500,0.0,786,0.0,583302,4.6,186613,1.5,107691,0.8,113440,0.9,18057,0.1,65060,0.5,25747,0.2,66694,0.5,3185,0.0,1087,0.0,921,0.0,390,0.0,787,0.0,869769,6.8,234125,1.8,70668,0.6,32657,0.3,47765,0.4,7529,0.1,12790182,12790182,9418181,73.6,1959210,15.3,77156,0.6,648668,5.1,9136,0.1,926365,7.2,12790182,12790182,1987211,15.5,1577155,12.3,178169,1.4,22923,0.2,208964
66,Indiana,2011,6454254,5482893,85.0,576304,8.9,14772,0.2,3136,0.0,562,0.0,283,0.0,682,0.0,99194,1.5,26613,0.4,23243,0.4,10614,0.2,4837,0.1,10263,0.2,7189,0.1,16435,0.3,1233,0.0,517,0.0,153,0.0,199,0.0,364,0.0,148087,2.3,131771,2.0,49912,0.8,32560,0.5,16055,0.2,3794,0.1,6454254,6454254,5603295,86.8,640095,9.9,56619,0.9,120004,1.9,3952,0.1,169551,2.6,6454254,6454254,377169,5.8,291633,4.5,30019,0.5,4567,0.1,50950
67,Iowa,2011,3032266,2782349,91.8,85714,2.8,9958,0.3,593,0.0,342,0.0,76,0.0,1717,0.1,52881,1.7,9532,0.3,9656,0.3,3613,0.1,1214,0.0,7288,0.2,10681,0.4,10897,0.4,1112,0.0,203,0.0,78,0.0,67,0.0,764,0.0,47376,1.6,52876,1.7,18554,0.6,14077,0.5,7143,0.2,1345,0.0,3032266,3032266,2831812,93.4,109459,3.6,27906,0.9,62278,2.1,2752,0.1,54719,1.8,3032266,3032266,144158,4.8,112480,3.7,5083,0.2,1468,0.0,25127
68,Kansas,2011,2830985,2412703,85.2,163063,5.8,23860,0.8,5398,0.2,284,0.0,981,0.0,1044,0.0,67532,2.4,13445,0.5,12371,0.4,5682,0.2,1798,0.1,5172,0.2,14627,0.5,14437,0.5,1734,0.1,472,0.0,401,0.0,275,0.0,586,0.0,76328,2.7,85765,3.0,23901,0.8,28630,1.0,10177,0.4,5197,0.2,2830985,2830985,2489185,87.9,198402,7.0,61874,2.2,80642,2.8,3390,0.1,88196,3.1,2830985,2830985,287599,10.2,241068,8.5,8848,0.3,2530,0.1,35153
69,Kentucky,2011,4316040,3808381,88.2,336628,7.8,8913,0.2,3215,0.1,203,0.0,120,0.0,246,0.0,47754,1.1,11137,0.3,9396,0.2,5149,0.1,4799,0.1,5190,0.1,5073,0.1,7010,0.2,2403,0.1,830,0.0,574,0.0,466,0.0,533,0.0,42767,1.0,69194,1.6,30338,0.7,16743,0.4,7689,0.2,1476,0.0,4316040,4316040,3872765,89.7,374029,8.7,30216,0.7,58377,1.4,3785,0.1,50522,1.2,4316040,4316040,124593,2.9,77382,1.8,11893,0.3,9091,0.2,26227
70,Louisiana,2011,4484596,2838981,63.3,1429820,31.9,28154,0.6,3326,0.1,133,0.0,205,0.0,166,0.0,69355,1.5,9514,0.2,10519,0.2,6341,0.1,1719,0.0,3089,0.1,29297,0.7,8876,0.2,1719,0.0,531,0.0,377,0.0,317,0.0,494,0.0,51051,1.1,65516,1.5,20867,0.5,17456,0.4,7728,0.2,3928,0.1,4484596,4484596,2895512,64.6,1462380,32.6,53803,1.2,80561,1.8,3282,0.1,60209,1.3,4484596,4484596,183706,4.1,76467,1.7,10845,0.2,10778,0.2,85616
71,Maine,2011,1328543,1268113,95.5,13979,1.1,7124,0.5,270,0.0,109,0.0,20,0.0,96,0.0,13745,1.0,1956,0.1,3261,0.2,1846,0.1,583,0.0,1435,0.1,2121,0.2,2543,0.2,310,0.0,142,0.0,82,0.0,17,0.0,69,0.0,3621,0.3,21651,1.6,3552,0.3,11571,0.9,3201,0.2,339,0.0,1328543,1328543,1288414,97.0,19116,1.4,20212,1.5,17714,1.3,858,0.1,5090,0.4,1328543,1328543,17307,1.3,4982,0.4,5142,0.4,764,0.1,6419
72,Maryland,2011,5736545,3397326,59.2,1683842,29.4,16603,0.3,2309,0.0,312,0.0,415,0.0,130,0.0,312883,5.5,77338,1.3,69467,1.2,45189,0.8,7057,0.1,47979,0.8,25982,0.5,39871,0.7,2708,0.0,789,0.0,1094,0.0,101,0.0,724,0.0,183883,3.2,139300,2.4,44089,0.8,16487,0.3,28415,0.5,11284,0.2,5736545,5736545,3508753,61.2,1760053,30.7,53213,0.9,356943,6.2,6339,0.1,203550,3.5,5736545,5736545,451861,7.9,85014,1.5,41439,0.7,9858,0.2,315550
73,Massachusetts,2011,6512227,5294754,81.3,431907,6.6,12238,0.2,933,0.0,309,0.0,110,0.0,118,0.0,345422,5.3,70394,1.1,126145,1.9,13507,0.2,8693,0.1,24485,0.4,43309,0.7,58889,0.9,1711,0.0,534,0.0,253,0.0,240,0.0,684,0.0,270932,4.2,155263,2.4,62123,1.0,19084,0.3,28018,0.4,4405,0.1,6512227,6512227,5430074,83.4,515330,7.9,41880,0.6,381545,5.9,5368,0.1,302176,4.6,6512227,6512227,606922,9.3,38465,0.6,260144,4.0,10553,0.2,297760
74,Michigan,2011,9920621,7869573,79.3,1395245,14.1,54638,0.6,3871,0.0,22728,0.2,364,0.0,707,0.0,244623,2.5,80261,0.8,47235,0.5,23923,0.2,12350,0.1,25068,0.3,18551,0.2,37235,0.4,2690,0.0,888,0.0,358,0.0,561,0.0,883,0.0,130312,1.3,223540,2.3,74625,0.8,56087,0.6,30054,0.3,13024,0.1,9920621,9920621,8066065,81.3,1502959,15.1,138133,1.4,285137,2.9,7303,0.1,159836,1.6,9920621,9920621,432043,4.4,320885,3.2,36318,0.4,9533,0.1,65307
75,Minnesota,2011,5278190,4556910,86.3,264751,5.0,57271,1.1,937,0.0,35196,0.7,198,0.0,6048,0.1,208315,3.9,31157,0.6,24610,0.5,8591,0.2,4310,0.1,16659,0.3,24164,0.5,98824,1.9,2129,0.0,728,0.0,176,0.0,545,0.0,680,0.0,72079,1.4,116735,2.2,37577,0.7,28745,0.5,23661,0.4,4427,0.1,5278190,5278190,4663179,88.3,316427,6.0,98032,1.9,237825,4.5,5640,0.1,82852,1.6,5278190,5278190,242956,4.6,175394,3.3,11808,0.2,3068,0.1,52686
76,Mississippi,2011,2956700,1767875,59.8,1094596,37.0,13775,0.5,929,0.0,34,0.0,77,0.0,291,0.0,25807,0.9,4819,0.2,5406,0.2,3957,0.1,571,0.0,1669,0.1,7098,0.2,2287,0.1,579,0.0,328,0.0,146,0.0,35,0.0,70,0.0,22642,0.8,31426,1.1,10524,0.4,9947,0.3,2946,0.1,1973,0.1,2956700,2956700,1795444,60.7,1110154,37.5,27361,0.9,30031,1.0,1212,0.0,26138,0.9,2956700,2956700,75626,2.6,51072,1.7,5469,0.2,1876,0.1,17209
77,Missouri,2011,5955802,4957147,83.2,686044,11.5,22509,0.4,6892,0.1,522,0.0,384,0.0,959,0.0,93632,1.6,22525,0.4,20704,0.3,10663,0.2,3061,0.1,9614,0.2,13929,0.2,13136,0.2,5725,0.1,752,0.0,767,0.0,1443,0.0,2763,0.0,60629,1.0,130116,2.2,37136,0.6,46961,0.8,18797,0.3,5506,0.1,5955802,5955802,5075076,85.2,738368,12.4,80902,1.4,118272,2.0,9358,0.2,71443,1.2,5955802,5955802,206777,3.5,145652,2.4,12760,0.2,5029,0.1,43336
78,Montana,2011,982854,881905,89.7,4403,0.4,61399,6.2,862,0.1,3346,0.3,411,0.0,5005,0.5,5999,0.6,523,0.1,1075,0.1,1283,0.1,820,0.1,748,0.1,490,0.0,1060,0.1,664,0.1,349,0.0,153,0.0,91,0.0,71,0.0,5548,0.6,22936,2.3,2114,0.2,13573,1.4,3289,0.3,223,0.0,982854,982854,903925,92.0,7651,0.8,76401,7.8,10403,1.1,1754,0.2,7244,0.7,982854,982854,28368,2.9,20204,2.1,1326,0.1,534,0.1,6304
79,Nebraska,2011,1813061,1600661,88.3,79828,4.4,15858,0.9,381,0.0,310,0.0,327,0.0,3670,0.2,30637,1.7,5240,0.3,5160,0.3,2892,0.2,1496,0.1,3107,0.2,7952,0.4,4790,0.3,1263,0.1,349,0.0,251,0.0,110,0.0,553,0.0,44877,2.5,39937,2.2,10659,0.6,9621,0.5,5942,0.3,3365,0.2,1813061,1813061,1634555,90.2,96831,5.3,32020,1.8,38973,2.1,2135,0.1,51410,2.8,1813061,1813061,159550,8.8,126508,7.0,2870,0.2,1594,0.1,28578
80,Nevada,2011,2673396,1960913,73.3,214360,8.0,29344,1.1,1610,0.1,462,0.0,2285,0.1,554,0.0,190079,7.1,9946,0.4,30573,1.1,96121,3.6,11383,0.4,12542,0.5,9826,0.4,19688,0.7,16391,0.6,6809,0.3,3640,0.1,2768,0.1,3174,0.1,166215,6.2,96094,3.6,17983,0.7,14926,0.6,22494,0.8,2544,0.1,2673396,2673396,2038924,76.3,243605,9.1,51633,1.9,230336,8.6,30960,1.2,183619,6.9,2673396,2673396,698713,26.1,545171,20.4,20913,0.8,19920,0.7,112709
81,New Hampshire,2011,1315911,1241530,94.3,14520,1.1,2688,0.2,226,0.0,33,0.0,48,0.0,8,0.0,27702,2.1,9030,0.7,6105,0.5,1846,0.1,689,0.1,1993,0.2,2549,0.2,5490,0.4,296,0.0,67,0.0,103,0.0,25,0.0,101,0.0,9783,0.7,19392,1.5,4415,0.3,6342,0.5,4527,0.3,312,0.0,1315911,1315911,1259539,95.7,20494,1.6,10191,0.8,33461,2.5,993,0.1,11849,0.9,1315911,1315911,36452,2.8,8387,0.6,11021,0.8,1483,0.1,15561
82,New Jersey,2011,8753064,6095247,69.6,1180649,13.5,20490,0.2,1383,0.0,64,0.0,168,0.0,422,0.0,714890,8.2,286454,3.3,135932,1.6,113309,1.3,13674,0.2,90154,1.0,24737,0.3,50630,0.6,2112,0.0,411,0.0,448,0.0,117,0.0,1136,0.0,547546,6.3,192130,2.2,58540,0.7,19545,0.2,35056,0.4,8434,0.1,8753064,8753064,6247934,71.4,1272687,14.5,59193,0.7,769369,8.8,7732,0.1,600259,6.9,8753064,8753064,1512251,17.3,207069,2.4,438789,5.0,86617,1.0,779776
83,New Mexico,2011,2037136,1467191,72.0,41082,2.0,188613,9.3,1202,0.1,301,0.0,110152,5.4,877,0.0,27214,1.3,3809,0.2,6156,0.3,4557,0.2,2386,0.1,2365,0.1,4238,0.2,3703,0.2,1157,0.1,401,0.0,556,0.0,81,0.0,119,0.0,250192,12.3,61687,3.0,8066,0.4,18050,0.9,6628,0.3,1718,0.1,2037136,2037136,1521082,74.7,54297,2.7,213728,10.5,36512,1.8,2796,0.1,273540,13.4,2037136,2037136,934301,45.9,559515,27.5,6984,0.3,4200,0.2,363602
