,State,Year,HC01_VC38,HC01_VC43,HC03_VC43,HC01_VC44,HC03_VC44,HC01_VC45,HC03_VC45,HC01_VC46,HC03_VC46,HC01_VC47,HC03_VC47,HC01_VC48,HC03_VC48,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC51,HC03_VC51,HC01_VC52,HC03_VC52,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC63,HC03_VC63,HC01_VC64,HC03_VC64,HC01_VC65,HC03_VC65,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC71,HC03_VC71,HC01_VC72,HC03_VC72,HC01_VC73,HC03_VC73,HC01_VC74,HC03_VC74,HC01_VC75,HC03_VC75,HC01_VC76,HC03_VC76,HC01_VC77,HC03_VC77,HC01_VC81,HC03_VC81,HC01_VC82,HC03_VC82,HC01_VC83,HC03_VC83,HC01_VC84,HC03_VC84,HC01_VC85,HC03_VC85,HC01_VC86
10,Georgia,2010,9468815,5788255,61.1,2873069,30.3,23234,0.2,6490,0.1,321,0.0,467,0.0,371,0.0,296986,3.1,87759,0.9,43243,0.5,18952,0.2,8185,0.1,52074,0.5,46150,0.5,40623,0.4,4850,0.1,1330,0.0,1361,0.0,1192,0.0,967,0.0,338510,3.6,143911,1.5,46005,0.5,25805,0.3,21662,0.2,7634,0.1,9468815,9468815,5906786,62.4,2947532,31.1,64735,0.7,330870,3.5,8873,0.1,364623,3.9,9468815,9468815,784712,8.3,490440,5.2,65368,0.7,23410,0.2,205494
11,Hawaii,2010,1333591,333842,25.0,21170,1.6,3506,0.3,644,0.0,118,0.0,302,0.0,90,0.0,525848,39.4,2041,0.2,57150,4.3,189943,14.2,192028,14.4,24556,1.8,10244,0.8,49886,3.7,127661,9.6,78389,5.9,2093,0.2,15728,1.2,31451,2.4,15964,1.2,305600,22.9,4275,0.3,9067,0.7,67966,5.1,943,0.1,1333591,1333591,555392,41.6,38037,2.9,32133,2.4,763588,57.3,330846,24.8,32907,2.5,1333591,1333591,115433,8.7,33717,2.5,39885,3.0,1483,0.1,40348
12,Idaho,2010,1526797,1407354,92.2,8674,0.6,18951,1.2,1168,0.1,382,0.0,694,0.0,385,0.0,17939,1.2,2156,0.1,3365,0.2,2575,0.2,2987,0.2,1855,0.1,1742,0.1,3259,0.2,2284,0.1,574,0.0,475,0.0,253,0.0,982,0.1,34225,2.2,37370,2.4,3987,0.3,16358,1.1,7175,0.5,221,0.0,1526797,1526797,1442821,94.5,14571,1.0,37300,2.4,27065,1.8,4878,0.3,39879,2.6,1526797,1526797,161337,10.6,140968,9.2,2975,0.2,638,0.0,16756
13,Illinois,2010,12745359,9136680,71.7,1860305,14.6,24729,0.2,3547,0.0,1167,0.0,448,0.0,746,0.0,571537,4.5,183051,1.4,105055,0.8,113762,0.9,19267,0.2,62536,0.5,25062,0.2,62804,0.5,3290,0.0,1166,0.0,963,0.0,317,0.0,844,0.0,927604,7.3,221214,1.7,64830,0.5,33041,0.3,43086,0.3,6660,0.1,12745359,12745359,9329441,73.2,1951337,15.3,75112,0.6,629691,4.9,7697,0.1,985668,7.7,12745359,12745359,1939928,15.2,1535659,12.0,173982,1.4,21974,0.2,208313
14,Indiana,2010,6417398,5461258,85.1,572352,8.9,14487,0.2,3593,0.1,451,0.0,184,0.0,613,0.0,96189,1.5,24384,0.4,23318,0.4,10960,0.2,4835,0.1,9731,0.2,7348,0.1,15613,0.2,1510,0.0,634,0.0,273,0.0,192,0.0,411,0.0,148957,2.3,122645,1.9,45733,0.7,31076,0.5,14338,0.2,3598,0.1,6417398,6417398,5573153,86.8,631970,9.8,54896,0.9,114709,1.8,3931,0.1,168658,2.6,6417398,6417398,361472,5.6,278180,4.3,28856,0.4,4335,0.1,50101
15,Iowa,2010,3016267,2773410,91.9,82682,2.7,9825,0.3,707,0.0,324,0.0,76,0.0,1617,0.1,50363,1.7,9059,0.3,8936,0.3,3559,0.1,1347,0.0,6520,0.2,10832,0.4,10110,0.3,961,0.0,220,0.0,81,0.0,28,0.0,632,0.0,48535,1.6,50491,1.7,18000,0.6,13378,0.4,6511,0.2,1277,0.0,3016267,3016267,2820692,93.5,105734,3.5,26595,0.9,58802,1.9,2330,0.1,55813,1.9,3016267,3016267,136932,4.5,107968,3.6,4480,0.1,1296,0.0,23188
16,Kansas,2010,2809329,2391786,85.1,161768,5.8,24422,0.9,5431,0.2,362,0.0,926,0.0,1040,0.0,66119,2.4,14044,0.5,12045,0.4,5271,0.2,1672,0.1,5470,0.2,13402,0.5,14215,0.5,1625,0.1,374,0.0,273,0.0,412,0.0,566,0.0,81140,2.9,82469,2.9,22835,0.8,27561,1.0,9086,0.3,4734,0.2,2809329,2809329,2465570,87.8,195140,6.9,60560,2.2,77533,2.8,3008,0.1,94184,3.4,2809329,2809329,276108,9.8,230315,8.2,8570,0.3,2022,0.1,35201
17,Kentucky,2010,4285828,3792514,88.5,330764,7.7,8794,0.2,3596,0.1,222,0.0,174,0.0,275,0.0,45604,1.1,10842,0.3,8779,0.2,5473,0.1,4913,0.1,4660,0.1,5245,0.1,5692,0.1,2674,0.1,988,0.0,946,0.0,306,0.0,434,0.0,40178,0.9,65300,1.5,26974,0.6,16856,0.4,7545,0.2,1682,0.0,4285828,4285828,3853227,89.9,364463,8.5,30057,0.7,55560,1.3,4288,0.1,47513,1.1,4285828,4285828,117348,2.7,75227,1.8,10316,0.2,8172,0.2,23633
18,Louisiana,2010,4429940,2819074,63.6,1405685,31.7,27352,0.6,2987,0.1,191,0.0,185,0.0,365,0.0,67210,1.5,9123,0.2,10103,0.2,5777,0.1,2020,0.0,3022,0.1,28173,0.6,8992,0.2,1416,0.0,434,0.0,329,0.0,128,0.0,525,0.0,50343,1.1,58860,1.3,18207,0.4,16585,0.4,6862,0.2,3785,0.1,4429940,4429940,2870027,64.8,1433880,32.4,51096,1.2,76945,1.7,2879,0.1,58402,1.3,4429940,4429940,172754,3.9,72628,1.6,10179,0.2,10238,0.2,79709
19,Maine,2010,1327665,1268805,95.6,13903,1.0,7002,0.5,279,0.0,92,0.0,40,0.0,26,0.0,13432,1.0,1901,0.1,3162,0.2,1829,0.1,586,0.0,1437,0.1,2157,0.2,2360,0.2,438,0.0,219,0.0,90,0.0,62,0.0,67,0.0,4132,0.3,19953,1.5,3223,0.2,10702,0.8,2880,0.2,228,0.0,1327665,1327665,1287721,97.0,18485,1.4,18971,1.4,16987,1.3,929,0.1,5658,0.4,1327665,1327665,17043,1.3,4882,0.4,5132,0.4,800,0.1,6229
20,Maryland,2010,5696423,3396216,59.6,1665235,29.2,16213,0.3,2243,0.0,207,0.0,456,0.0,241,0.0,304574,5.3,76617,1.3,68266,1.2,41722,0.7,7493,0.1,48142,0.8,24703,0.4,37631,0.7,2977,0.1,728,0.0,1328,0.0,131,0.0,790,0.0,178952,3.1,132256,2.3,40495,0.7,16524,0.3,26529,0.5,10708,0.2,5696423,5696423,3502291,61.5,1737112,30.5,51952,0.9,345757,6.1,6146,0.1,197963,3.5,5696423,5696423,429946,7.5,81906,1.4,41835,0.7,9330,0.2,296875
21,Massachusetts,2010,6477096,5289078,81.7,422303,6.5,12584,0.2,840,0.0,280,0.0,144,0.0,111,0.0,335906,5.2,68956,1.1,123561,1.9,13247,0.2,9037,0.1,22202,0.3,42919,0.7,55984,0.9,2281,0.0,416,0.0,820,0.0,164,0.0,881,0.0,270865,4.2,144079,2.2,57048,0.9,18362,0.3,25450,0.4,4701,0.1,6477096,6477096,5414651,83.6,499143,7.7,40769,0.6,368185,5.7,5189,0.1,300365,4.6,6477096,6477096,584975,9.0,39315,0.6,253668,3.9,10267,0.2,281725
22,Michigan,2010,9952687,7895340,79.3,1401616,14.1,54502,0.5,3922,0.0,22760,0.2,336,0.0,625,0.0,242886,2.4,80803,0.8,45454,0.5,22867,0.2,13442,0.1,24598,0.2,19015,0.2,36707,0.4,2722,0.0,984,0.0,335,0.0,523,0.0,880,0.0,144833,1.5,210788,2.1,68267,0.7,55899,0.6,27464,0.3,12583,0.1,9952687,9952687,8081723,81.2,1501538,15.1,136795,1.4,278615,2.8,6285,0.1,173169,1.7,9952687,9952687,423412,4.3,313437,3.1,34961,0.4,9585,0.1,65429
23,Minnesota,2010,5241914,4539826,86.6,257165,4.9,55370,1.1,978,0.0,35568,0.7,149,0.0,5318,0.1,204202,3.9,31357,0.6,23015,0.4,8581,0.2,4295,0.1,16582,0.3,24125,0.5,96247,1.8,2135,0.0,849,0.0,250,0.0,475,0.0,561,0.0,75607,1.4,107609,2.1,35086,0.7,27205,0.5,21087,0.4,3783,0.1,5241914,5241914,4638446,88.5,305075,5.8,93141,1.8,229970,4.4,5023,0.1,85893,1.6,5241914,5241914,233716,4.5,167744,3.2,10760,0.2,2839,0.1,52373
24,Mississippi,2010,2941991,1761910,59.9,1088270,37.0,13610,0.5,1233,0.0,54,0.0,95,0.0,281,0.0,24691,0.8,4826,0.2,4851,0.2,3826,0.1,699,0.0,1790,0.1,5972,0.2,2727,0.1,636,0.0,375,0.0,156,0.0,17,0.0,88,0.0,23428,0.8,29446,1.0,9550,0.3,9286,0.3,3119,0.1,2157,0.1,2941991,2941991,1787746,60.8,1102412,37.5,26420,0.9,28801,1.0,1292,0.0,26511,0.9,2941991,2941991,69834,2.4,45783,1.6,5169,0.2,2007,0.1,16875
25,Missouri,2010,5922314,4938222,83.4,679062,11.5,22829,0.4,7484,0.1,553,0.0,263,0.0,940,0.0,92147,1.6,21634,0.4,20021,0.3,10453,0.2,3063,0.1,10516,0.2,14938,0.3,11522,0.2,5201,0.1,856,0.0,625,0.0,1143,0.0,2577,0.0,61101,1.0,123752,2.1,33250,0.6,48629,0.8,16410,0.3,5271,0.1,5922314,5922314,5051011,85.3,726452,12.3,82043,1.4,113256,1.9,8570,0.1,71453,1.2,5922314,5922314,198670,3.4,140464,2.4,11659,0.2,4586,0.1,41961
26,Montana,2010,973739,874571,89.8,4325,0.4,60135,6.2,869,0.1,3418,0.4,520,0.1,5251,0.5,6091,0.6,520,0.1,1040,0.1,1391,0.1,714,0.1,959,0.1,587,0.1,880,0.1,609,0.1,371,0.0,152,0.0,33,0.0,53,0.0,6050,0.6,21958,2.3,1842,0.2,13511,1.4,2881,0.3,309,0.0,973739,973739,895472,92.0,7311,0.8,75043,7.7,9670,1.0,1446,0.1,7844,0.8,973739,973739,27260,2.8,19540,2.0,1605,0.2,601,0.1,5514
